,property,value (log),smiles_string
74,p_sim_CO2,-6.924453039,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12
75,p_exp_O2,-9.777283529,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc1)C2=O
76,d_exp_O2,-7.698970004,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc1)C2=O
77,d_sim_O2,-6.329754147,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc1)C2=O
78,s_sim_O2,-1.697831583,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc1)C2=O
79,s_exp_O2,-2.078313525,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc1)C2=O
80,p_sim_O2,-8.027797162,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc1)C2=O
81,p_exp_CO2,-8.49757288,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc([*])cc4C)cc3)cc2)c(C)c1
82,d_exp_CO2,-6.928117993,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc([*])cc4C)cc3)cc2)c(C)c1
83,d_sim_CO2,-6.801342913,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc([*])cc4C)cc3)cc2)c(C)c1
84,s_sim_CO2,-0.521056196,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc([*])cc4C)cc3)cc2)c(C)c1
85,s_exp_CO2,-1.56945488,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc([*])cc4C)cc3)cc2)c(C)c1
