,zinc_ids,polymer,reactants,n_polymer_atoms
4823,ZINC000409284831,*=CC1OC(C=*)(COC(C)=O)C2C(=O)N(c3ccc(OC)nn3)C(=O)C12,COc1ccc(N2C(=O)C3C4C=CC(COC(C)=O)(O4)C3C2=O)nn1,25
4824,ZINC000409286854,*=CC1OC(C=*)(C2OCCO2)C2C(=O)N(c3ccc(OC)nn3)C(=O)C12,COc1ccc(N2C(=O)C3C4C=CC(C5OCCO5)(O4)C3C2=O)nn1,25
4825,ZINC000575420277,*=CC(CS(=O)(=O)C=*)NC(=S)Nc1nc(O)c2nc[nH]c2n1,O=S1(=O)C=CC(NC(=S)Nc2nc(O)c3nc[nH]c3n2)C1,21
4826,ZINC000575425122,*=CC(CS(=O)(=O)C=*)NS(=O)(=O)c1ccc(CNC(C)=O)cc1,CC(=O)NCc1ccc(S(=O)(=O)NC2C=CS(=O)(=O)C2)cc1,22
4827,ZINC000075163873,*=CC(OC)OC(C=*)(CNC(=O)c1ccc(-n2cccn2)nn1)OC,COC1C=CC(CNC(=O)c2ccc(-n3cccn3)nn2)(OC)O1,24
4828,ZINC000001571338,*=Cc1ccccc1C(c1ccccc1C=*)N1C(=O)Cc2ccccc21,O=C1Cc2ccccc2N1C1c2ccccc2C=Cc2ccccc21,25
4829,ZINC000001739980,*=CC1CC(C=*)C(COC(=O)Nc2ccc(Cl)c(Cl)c2)C1,O=C(Nc1ccc(Cl)c(Cl)c1)OCC1CC2C=CC1C2,20
4830,ZINC000003337112,*=CC1CC(C=*)C(C(=O)Nc2nc(-c3ccc(C)c(C)c3)cs2)C1,Cc1ccc(-c2csc(NC(=O)C3CC4C=CC3C4)n2)cc1C,23
4831,ZINC000006277007,*=Cc1ccccc1N(C(=O)c1ccccc1N)c1ccccc1C=*,Nc1ccccc1C(=O)N1c2ccccc2C=Cc2ccccc21,24
4832,ZINC000029146275,*=CCCC(C=*)CC(=O)Nc1nc(-c2ccc(F)cc2)c(C)s1,Cc1sc(NC(=O)CC2C=CCC2)nc1-c1ccc(F)cc1,22
4833,ZINC000031906023,*=CCCC1C(CCC=*)C1C(=O)Nc1cccc(C(F)(F)F)c1,O=C(Nc1cccc(C(F)(F)F)c1)C1C2CCC=CCCC21,22
4834,ZINC000068565005,*=CC=C(Br)c1ccccc1C(Br)=CC=*,BrC1=CC=CC=C(Br)c2ccccc21,14
4835,ZINC000104138641,*=CCCCCC1C(CCC=*)C1(Br)Br,BrC1(Br)C2CCC=CCCCCC21,13
4836,ZINC000138653151,*=Cc1ccccc1N(CCCN(C)C)c1cc(Cl)ccc1C=*,CN(C)CCCN1c2ccccc2C=Cc2ccc(Cl)cc21,22
4837,ZINC000216083289,*=CCCC(C=*)CC(=O)Oc1ccccc1SC(F)(F)F,O=C(CC1C=CCC1)Oc1ccccc1SC(F)(F)F,20
4838,ZINC000247524958,*=CCCC1C(CCC=*)C1C(=O)Nc1ccc(Cl)c(Cl)c1,O=C(Nc1ccc(Cl)c(Cl)c1)C1C2CCC=CCCC21,20
4839,ZINC001560404621,*=C[CH]SC(C=*)=C(CCN(C)C)Oc1cccc2ccccc12,CN(C)CCC(Oc1cccc2ccccc12)=C1C=C[CH]S1,22
4840,ZINC000006296234,*=CC1OC(C=*)(COC(C)=O)C2C(=O)N(c3ccccc3C#N)C(=O)C12,CC(=O)OCC12C=CC(O1)C1C(=O)N(c3ccccc3C#N)C(=O)C12,25
4841,ZINC000006305629,*=CC1OC(C=*)(COC(C)=O)C2C(=O)N(c3ccc(C#N)cc3)C(=O)C12,CC(=O)OCC12C=CC(O1)C1C(=O)N(c3ccc(C#N)cc3)C(=O)C12,25
4842,ZINC000409297483,*=CC1OC(C=*)(C2OCCO2)C2C(=O)N(c3ccccc3C#N)C(=O)C12,N#Cc1ccccc1N1C(=O)C2C3C=CC(C4OCCO4)(O3)C2C1=O,25
4843,ZINC000409298910,*=CC1OC(C=*)(C2OCCO2)C2C(=O)N(c3ccc(C#N)cc3)C(=O)C12,N#Cc1ccc(N2C(=O)C3C4C=CC(C5OCCO5)(O4)C3C2=O)cc1,25
4844,ZINC000409404404,*=CC1CC(C=*)C2C(=O)N(N=Cc3cccc(OCC(N)=O)c3)C(=O)C12,NC(=O)COc1cccc(C=NN2C(=O)C3C4C=CC(C4)C3C2=O)c1,25
4845,ZINC000409405516,*=CC1CC(C=*)C2C(=O)N(N=Cc3ccc(OCC(N)=O)cc3)C(=O)C12,NC(=O)COc1ccc(C=NN2C(=O)C3C4C=CC(C4)C3C2=O)cc1,25
4846,ZINC000409408495,*=CC1CC(C=*)C2C(=O)N(N=Cc3ccccc3OCC(N)=O)C(=O)C12,NC(=O)COc1ccccc1C=NN1C(=O)C2C3C=CC(C3)C2C1=O,25
4847,ZINC000100396602,*=CC1OC(C=*)(CNS(=O)(=O)c2ccc(C)cc2)C2C(=O)OC(=O)C12,Cc1ccc(S(=O)(=O)NCC23C=CC(O2)C2C(=O)OC(=O)C23)cc1,24
4848,ZINC000100398474,*=CC1CC(C=*)C(C(=O)NNC(=O)c2ccccc2OC)C1C(=O)O,COc1ccccc1C(=O)NNC(=O)C1C2C=CC(C2)C1C(=O)O,24
4849,ZINC000006415619,*=CC1OC(C)(C=*)C(C(=O)NNC(=O)c2ccccc2O)C1C(=O)O,CC12C=CC(O1)C(C(=O)O)C2C(=O)NNC(=O)c1ccccc1O,24
4850,ZINC000100219932,*=CC1CC(C=*)C(C(=O)NNC(=O)c2ccc(OC)cc2)C1C(=O)O,COc1ccc(C(=O)NNC(=O)C2C3C=CC(C3)C2C(=O)O)cc1,24
4851,ZINC000106489500,*=CC1OC(C)(C=*)C(C(=O)NNC(=O)c2ccc(OC)cc2)C1C(=O)O,COc1ccc(C(=O)NNC(=O)C2C(C(=O)O)C3C=CC2(C)O3)cc1,25
4852,ZINC000409382658,*=CC1OC(C)(C=*)C(C(=O)NNC(=O)c2ccc(C)cc2)C1C(=O)O,Cc1ccc(C(=O)NNC(=O)C2C(C(=O)O)C3C=CC2(C)O3)cc1,24
4853,ZINC000001542902,*=CSC(SC=*)=C(C(=O)OC(C)C)C(=O)OC(C)C,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,18
4854,ZINC000001849749,*=CCC1C(OP(=O)(OC)OC)=C(Cl)C1C=*,COP(=O)(OC)OC1=C(Cl)C2C=CCC12,15
4855,ZINC000003107043,*=CC1CC(C=*)C2C(=O)N(c3c(CC)cccc3CC)C(=O)C12,CCc1cccc(CC)c1N1C(=O)C2C3C=CC(C3)C2C1=O,22
4856,ZINC000004165429,*=CC1CC(C=*)C2(C)C(=O)N(c3cccc(Cl)c3)C(=O)C12,CC12C(=O)N(c3cccc(Cl)c3)C(=O)C1C1C=CC2C1,20
4857,ZINC000100024510,*=CC1C2C(=O)N(c3ccc(C)cc3C)C(=O)C2C(C=*)C12CC2,Cc1ccc(N2C(=O)C3C(C2=O)C2C=CC3C23CC3)c(C)c1,22
4858,ZINC000103572940,*=CC1CC(C=*)C(CN2CCN(c3ccc(F)cc3)CC2)C1,Fc1ccc(N2CCN(CC3CC4C=CC3C4)CC2)cc1,21
4859,ZINC000077734340,*=CCC(CC=*)C(=O)N(C)Cc1cc(Cl)ccc1OC,COc1ccc(Cl)cc1CN(C)C(=O)C1CC=CC1,19
4860,ZINC000100412078,*=CC1CC(C=*)C(CN2CCN(c3ccccc3)CC2)C1,C1=CC2CC1CC2CN1CCN(c2ccccc2)CC1,20
4861,ZINC000358498559,*=CCCC(C=*)CC(=O)NCc1cnc2ccccc2c1,O=C(CC1C=CCC1)NCc1cnc2ccccc2c1,20
4862,ZINC000077996361,*=CCC(CC=*)C(=O)N1CCc2ccccc2C1CC,CCC1c2ccccc2CCN1C(=O)C1CC=CC1,19
4863,ZINC000077996568,*=CCC(CC=*)C(=O)N1CCSCC1c1ccccc1,O=C(C1CC=CC1)N1CCSCC1c1ccccc1,19
4864,ZINC000077997576,*=CCC(CC=*)C(=O)N1CCc2cc(F)ccc2C1C,CC1c2ccc(F)cc2CCN1C(=O)C1CC=CC1,19
4865,ZINC000076994028,*=CCC(CC=*)C(=O)NCc1nc(C(C)(C)C)cs1,CC(C)(C)c1csc(CNC(=O)C2CC=CC2)n1,18
4866,ZINC000077742637,*=CCC(CC=*)C(=O)NC(c1ccncc1)c1ccc(F)cc1,O=C(NC(c1ccncc1)c1ccc(F)cc1)C1CC=CC1,22
4867,ZINC000033321297,*=COc1cc(C)ccc1C=C(C=*)C(=O)NC1CCCC1,Cc1ccc2c(c1)OC=CC(C(=O)NC1CCCC1)=C2,20
4868,ZINC000100067953,*=CC1C(=C(C)C)C(C=*)C2C(=O)N(c3ccccc3F)C(=O)C12,CC(C)=C1C2C=CC1C1C(=O)N(c3ccccc3F)C(=O)C21,22
4869,ZINC000100288335,*=CC1CC(C=*)C(COC(=O)c2cc3ccccc3oc2=O)C1,O=C(OCC1CC2C=CC1C2)c1cc2ccccc2oc1=O,22
4870,ZINC000100415980,*=CC1CC(C=*)C(CN2CCN(c3ccccc3F)CC2)C1,Fc1ccccc1N1CCN(CC2CC3C=CC2C3)CC1,21
4871,ZINC000100419536,*=CC1CC(C=*)C(CN2CCc3cc(OC)c(OC)cc3C2)C1,COc1cc2c(cc1OC)CN(CC1CC3C=CC1C3)CC2,22
4872,ZINC000100503361,*=CC1C(=C(C)C)C(C=*)C2C(=O)N(c3ccccc3C)C(=O)C12,CC(C)=C1C2C=CC1C1C(=O)N(c3ccccc3C)C(=O)C21,22
4873,ZINC000100641359,*=CC1CC(C=*)C2(C)C(=O)N(c3ccc(C)cc3C)C(=O)C12,Cc1ccc(N2C(=O)C3C4C=CC(C4)C3(C)C2=O)c(C)c1,21
4874,ZINC000100656257,*=CC1CC(C=*)C2(C)C(=O)N(c3cc(C)ccc3C)C(=O)C12,Cc1ccc(C)c(N2C(=O)C3C4C=CC(C4)C3(C)C2=O)c1,21
4875,ZINC000100103845,*=CC1CC(C=*)C2C(=O)N(c3ccc(C(C)C)cc3)C(=O)C12,CC(C)c1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1,21
4876,ZINC000102591986,*=CC1CC(C=*)C2(C)C(=O)N(c3ccc(Cl)cc3)C(=O)C12,CC12C(=O)N(c3ccc(Cl)cc3)C(=O)C1C1C=CC2C1,20
4877,ZINC000104185029,*=CC1CC(C=*)C2C(=O)N(c3cccc4ccccc34)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1c1cccc2ccccc12,22
4878,ZINC000586106825,*=CC1CC(C=*)N(C(=O)OC(C)(C)C)C1C(=O)c1ccccc1,CC(C)(C)OC(=O)N1C2C=CC(C2)C1C(=O)c1ccccc1,22
4879,ZINC000076941320,*=CCC(CC=*)C(=O)NCCCn1ccc2ccccc21,O=C(NCCCn1ccc2ccccc21)C1CC=CC1,20
4880,ZINC001772703971,*=CCN(C(=O)c1cc(O)cc(OC(C)C)c1)C(C=*)C(C)C,CC(C)Oc1cc(O)cc(C(=O)N2CC=CC2C(C)C)c1,21
4881,ZINC000104292541,*=CC1CC(C=*)C2(Br)c3ccccc3C(=O)C12,O=C1c2ccccc2C2(Br)C3C=CC(C3)C12,16
4882,ZINC000102706672,*=CC1C2C(=O)N(c3ccc(Cl)cc3)C(=O)C2C(C=*)C12CC2,O=C1C2C(C(=O)N1c1ccc(Cl)cc1)C1C=CC2C12CC2,21
4883,ZINC000102986587,*=CC1C2C(=O)N(c3c(C)cccc3C)C(=O)C2C(C=*)C12CC2,Cc1cccc(C)c1N1C(=O)C2C(C1=O)C1C=CC2C12CC2,22
4884,ZINC000165575950,*=CC1CC(C=*)C2(C)C(=O)N(c3c(C)cccc3C)C(=O)C12,Cc1cccc(C)c1N1C(=O)C2C3C=CC(C3)C2(C)C1=O,21
4885,ZINC000012274555,*=COc1ccccc1C=C(C=*)C(=O)NCc1ccccc1,O=C(NCc1ccccc1)C1=Cc2ccccc2OC=C1,21
4886,ZINC000103405560,*=CC1C2C(=O)N(c3cc(C)cc(C)c3)C(=O)C2C(C=*)C12CC2,Cc1cc(C)cc(N2C(=O)C3C(C2=O)C2C=CC3C23CC3)c1,22
4887,ZINC000584889098,*=CCC(CC=*)C(=O)NC1(c2cc(F)cc(F)c2)CC1,O=C(NC1(c2cc(F)cc(F)c2)CC1)C1CC=CC1,19
4888,ZINC000584890697,*=CCCC(C=*)CC(=O)NCc1c[nH]nc1-c1ccc(F)cc1,O=C(CC1C=CCC1)NCc1c[nH]nc1-c1ccc(F)cc1,22
4889,ZINC000584890719,*=CCC(CC=*)C(=O)NC(C)c1cnn(-c2ccccc2F)c1,CC(NC(=O)C1CC=CC1)c1cnn(-c2ccccc2F)c1,22
4890,ZINC000584898286,*=CCC(CC=*)C(=O)NC(CC)c1nc2ccc(C)cc2[nH]1,CCC(NC(=O)C1CC=CC1)c1nc2ccc(C)cc2[nH]1,21
4891,ZINC000584898375,*=CCCC(C=*)CC(=O)N(C)Cc1ccccc1-n1cccn1,CN(Cc1ccccc1-n1cccn1)C(=O)CC1C=CCC1,22
4892,ZINC000584896217,*=CCC(CC=*)C(=O)NCC(c1ccccc1)N1CCCCC1,O=C(NCC(c1ccccc1)N1CCCCC1)C1CC=CC1,22
4893,ZINC000103929314,*=CC1CC(C=*)C(CN2CCN(c3ccccc3OC)CC2)C1,COc1ccccc1N1CCN(CC2CC3C=CC2C3)CC1,22
4894,ZINC000107798764,*=CC1CC(C=*)C(CNC(=O)c2ccccc2Cl)C1,O=C(NCC1CC2C=CC1C2)c1ccccc1Cl,18
4895,ZINC000215515295,*=CCN(C(=O)c1ccc(COC)s1)C(C=*)CCCC,CCCCC1C=CCN1C(=O)c1ccc(COC)s1,19
4896,ZINC000107220283,*=CC1CC(C=*)C(CN2CCN(c3ccc(C)cc3)CC2)C1,Cc1ccc(N2CCN(CC3CC4C=CC3C4)CC2)cc1,21
4897,ZINC000244641230,*=CCC(CC=*)C(=O)N(C)Cc1cnn(-c2cccc(C)c2)c1,Cc1cccc(-n2cc(CN(C)C(=O)C3CC=CC3)cn2)c1,22
4898,ZINC000244716295,*=CC1CC(C=*)C(C(=O)NCc2ccc3c(c2)CC(C)(C)O3)C1,CC1(C)Cc2cc(CNC(=O)C3CC4C=CC3C4)ccc2O1,22
4899,ZINC000252483624,*=CCN(Cc1cc(C(N)=O)oc1C(C)(C)C)C(C=*)CCC,CCCC1C=CCN1Cc1cc(C(N)=O)oc1C(C)(C)C,21
4900,ZINC000252504471,*=CCC(CC=*)C(=O)NCc1sc(C(C)C)nc1C,Cc1nc(C(C)C)sc1CNC(=O)C1CC=CC1,18
4901,ZINC000257356393,*=CCC1C(C=*)C1C1OC(c2ccccc2)C(C)N1C,CC1C(c2ccccc2)OC(C2C3C=CCC32)N1C,19
4902,ZINC000268064864,*=CCC(CC=*)C(=O)N1CCC(c2ccc(F)cc2)C1,O=C(C1CC=CC1)N1CCC(c2ccc(F)cc2)C1,19
4903,ZINC000426556073,*=CCN(C(=O)NCc1cc(C(C)C)no1)C(C=*)CCCC,CCCCC1C=CCN1C(=O)NCc1cc(C(C)C)no1,21
4904,ZINC000426563532,*=CC1CC(C=*)C(CCNC(=O)N(C)Cc2ccccc2)C1,CN(Cc1ccccc1)C(=O)NCCC1CC2C=CC1C2,21
4905,ZINC000426684566,*=CC1CC(C=*)C(CCNC(=O)c2cc(Cl)c[nH]2)C1,O=C(NCCC1CC2C=CC1C2)c1cc(Cl)c[nH]1,18
4906,ZINC000101637946,*=CC1C2C(=O)N(c3cc(C)ccc3C)C(=O)C2C(C=*)C12CC2,Cc1ccc(C)c(N2C(=O)C3C(C2=O)C2C=CC3C23CC3)c1,22
4907,ZINC000001721862,*=CC1(S(=O)(=O)C=*)CC2c3ccccc3C1c1ccccc12,O=S1(=O)C=CC12CC1c3ccccc3C2c2ccccc21,21
4908,ZINC000039152888,*=CCOC1(C=*)CCCC1OCc1ccc(OC)cc1,COc1ccc(COC2CCCC23C=CCO3)cc1,19
4909,ZINC000043199237,*=CCCC(=O)C(CCC=*)OCc1ccc(OC)cc1,COc1ccc(COC2CCC=CCCC2=O)cc1,19
4910,ZINC000006117175,*=Cc1ccccc1N(C(N)=O)c1cc(O)ccc1C=*,NC(=O)N1c2ccccc2C=Cc2ccc(O)cc21,19
4911,ZINC000091931554,*=CCN(C(=O)c1cc(=O)[nH]c2ccccc12)C(C=*)CCCC,CCCCC1C=CCN1C(=O)c1cc(=O)[nH]c2ccccc12,22
4912,ZINC001506401463,*=CCN(C(=O)c1ccc(OC)c(F)c1)C(C=*)CCCC,CCCCC1C=CCN1C(=O)c1ccc(OC)c(F)c1,20
4913,ZINC000253601232,*=CCCC(C=*)CC(=O)N1CC(C)OCC1c1ccccc1,CC1CN(C(=O)CC2C=CCC2)C(c2ccccc2)CO1,21
4914,ZINC000065381733,*=CCCC(C=*)Cc1nc(C2CC2)nn1-c1ccnc(C)c1,Cc1cc(-n2nc(C3CC3)nc2CC2C=CCC2)ccn1,21
4915,ZINC000129727194,*=CC1CC(C=*)C(C(=O)Nc2cc(NC(=O)CC)ccc2C)C1,CCC(=O)Nc1ccc(C)c(NC(=O)C2CC3C=CC2C3)c1,22
4916,ZINC000225389273,*=CC1CC(C=*)C(CNC(=O)Nc2cccc(C)c2)C1,Cc1cccc(NC(=O)NCC2CC3C=CC2C3)c1,19
4917,ZINC000534583429,*=CCN(C(=O)NCCCn1cccc1)C(C=*)CCCC,CCCCC1C=CCN1C(=O)NCCCn1cccc1,20
4918,ZINC000534587868,*=CC1CC(C=*)C(C(=O)NCc2sc(C(C)C)nc2C)C1,Cc1nc(C(C)C)sc1CNC(=O)C1CC2C=CC1C2,20
4919,ZINC000534588862,*=CC1CC(C=*)C(C(=O)NCC2(COc3ccccc3)CC2)C1,O=C(NCC1(COc2ccccc2)CC1)C1CC2C=CC1C2,22
4920,ZINC000089275137,*=CCC(CC=*)C(=O)N1CCCCC(SCC)C1,CCSC1CCCCN(C(=O)C2CC=CC2)C1,17
4921,ZINC000089869930,*=CCC(CC=*)C(=O)Nc1ccc2c(c1)nc(C1CC1)n2C,Cn1c(C2CC2)nc2cc(NC(=O)C3CC=CC3)ccc21,21
4922,ZINC000095400127,*=CCC(CC=*)C(=O)N1CCSC(c2ccccc2)C1,O=C(C1CC=CC1)N1CCSC(c2ccccc2)C1,19
4923,ZINC000095414002,*=CCC(CC=*)NC(=O)NC(C)c1cc(F)c(F)c(F)c1,CC(NC(=O)NC1CC=CC1)c1cc(F)c(F)c(F)c1,20
4924,ZINC000095414231,*=CCC(CC=*)NC(=O)Nc1cccc(N2CCCC2)c1,O=C(Nc1cccc(N2CCCC2)c1)NC1CC=CC1,20
4925,ZINC000670440816,*=CCCC(C=*)CC(=O)N(C)Cc1nnc(-c2ccccc2)o1,CN(Cc1nnc(-c2ccccc2)o1)C(=O)CC1C=CCC1,22
4926,ZINC000670450906,*=CCCC(C=*)CC(=O)NCc1cc2cc(OC)ccc2[nH]1,COc1ccc2[nH]c(CNC(=O)CC3C=CCC3)cc2c1,21
4927,ZINC000670450632,*=COc1ccccc1C=C(C=*)C(=O)NCc1nc(C)cs1,Cc1csc(CNC(=O)C2=Cc3ccccc3OC=C2)n1,21
4928,ZINC000670457653,*=CCC(CC=*)C(=O)NCc1ccc(C)c2ncccc12,Cc1ccc(CNC(=O)C2CC=CC2)c2cccnc12,20
4929,ZINC000098013488,*=CCC(CC=*)C(=O)N1CCOc2ccc(Cl)cc21,O=C(C1CC=CC1)N1CCOc2ccc(Cl)cc21,18
4930,ZINC000012553456,*=CCCC(C=*)CC(=O)N1CCN(c2cccc(C)c2C)CC1,Cc1cccc(N2CCN(C(=O)CC3C=CCC3)CC2)c1C,22
4931,ZINC000012903044,*=CCCC(C=*)CC(=O)N(C)c1nc2ccccc2o1,CN(C(=O)CC1C=CCC1)c1nc2ccccc2o1,19
4932,ZINC000012982330,*=CCCC(C=*)CC(=O)Nc1ccc2c(c1)OCCCO2,O=C(CC1C=CCC1)Nc1ccc2c(c1)OCCCO2,20
4933,ZINC000012985043,*=CCCC(C=*)CC(=O)N1CCC(c2ccc(O)cc2)CC1,O=C(CC1C=CCC1)N1CCC(c2ccc(O)cc2)CC1,21
4934,ZINC000226762008,*=CN(C(=O)CC)C(c1c[nH]c2ccccc12)N(C=*)C(=O)CC,CCC(=O)N1C=CN(C(=O)CC)C1c1c[nH]c2ccccc12,22
4935,ZINC000534633500,*=CCC(CC=*)C(=O)NC(CCCC)c1cccnc1,CCCCC(NC(=O)C1CC=CC1)c1cccnc1,19
4936,ZINC000822699280,*=CCN(C(=O)c1cc(-c2ccccc2)no1)C(C=*)CC,CCC1C=CCN1C(=O)c1cc(-c2ccccc2)no1,20
4937,ZINC000822804589,*=CCN(Cc1cnn(-c2ccccc2OC)c1)C(C=*)CCC,CCCC1C=CCN1Cc1cnn(-c2ccccc2OC)c1,22
4938,ZINC000822804595,*=CCN(Cc1cccc(Cn2cccn2)c1)C(C=*)CCC,CCCC1C=CCN1Cc1cccc(Cn2cccn2)c1,21
4939,ZINC000822804630,*=CCN(Cc1cc(OC)ccc1-n1cccn1)C(C=*)CCC,CCCC1C=CCN1Cc1cc(OC)ccc1-n1cccn1,22
4940,ZINC000823010928,*=CC1CC(C=*)C(C(=O)NCCOc2ccc(CCC)cc2)C1,CCCc1ccc(OCCNC(=O)C2CC3C=CC2C3)cc1,22
4941,ZINC000032843069,*=CCCC(C=*)CC(=O)N1CC=C(c2ccc(O)cc2)CC1,O=C(CC1C=CCC1)N1CC=C(c2ccc(O)cc2)CC1,21
4942,ZINC000032902272,*=CCCC(C=*)CC(=O)N1CCCC1c1ccncc1,O=C(CC1C=CCC1)N1CCCC1c1ccncc1,19
4943,ZINC000824609403,*=CCN(CC=*)Cc1ccc(OCC=C(C)C)c(OC)c1,COc1cc(CN2CC=CC2)ccc1OCC=C(C)C,20
4944,ZINC000825693439,*=CC1CC(C=*)C(c2nc(C3CC3)nn2CC(F)(F)F)C1,FC(F)(F)Cn1nc(C2CC2)nc1C1CC2C=CC1C2,20
4945,ZINC000036396582,*=CCCC(C=*)CC(=O)N(C)C1CCc2ccccc21,CN(C(=O)CC1C=CCC1)C1CCc2ccccc21,19
4946,ZINC000065406289,*=CCN(C(=O)c1ccccc1N1CCCC1)C(C=*)C(C)C,CC(C)C1C=CCN1C(=O)c1ccccc1N1CCCC1,21
4947,ZINC000040497051,*=CCCC(C=*)CC(=O)N1CCOC(c2ccc(F)cc2)C1,O=C(CC1C=CCC1)N1CCOC(c2ccc(F)cc2)C1,21
4948,ZINC000048275120,*=CCCC(C=*)CC(=O)N1CCCC1c1ccc(O)cc1,O=C(CC1C=CCC1)N1CCCC1c1ccc(O)cc1,20
4949,ZINC000048973970,*=CCCC(C=*)CC(=O)Nc1ccc2oc(=O)ccc2c1,O=C(CC1C=CCC1)Nc1ccc2oc(=O)ccc2c1,20
4950,ZINC000102184173,*=CC1CC(C=*)C(C(=O)Nc2cccc(NC(C)=O)c2C)C1,CC(=O)Nc1cccc(NC(=O)C2CC3C=CC2C3)c1C,21
4951,ZINC000102260785,*=CC1CC(C=*)C(C(=O)Nc2cccc3ncccc23)C1,O=C(Nc1cccc2ncccc12)C1CC2C=CC1C2,20
4952,ZINC000102261243,*=CC1CC(C=*)C(C(=O)Nc2ccc3c(C)cc(=O)oc3c2)C1,Cc1cc(=O)oc2cc(NC(=O)C3CC4C=CC3C4)ccc12,22
4953,ZINC000102263134,*=CC1CC(C=*)C(C(=O)NC(C)c2ccccc2F)C1,CC(NC(=O)C1CC2C=CC1C2)c1ccccc1F,19
4954,ZINC000102263230,*=CC1CC(C=*)C(C(=O)Nc2cccc3cccnc23)C1,O=C(Nc1cccc2cccnc12)C1CC2C=CC1C2,20
4955,ZINC000102266443,*=CC1CC(C=*)C(C(=O)Nc2ccc(C(C)=O)cc2)C1,CC(=O)c1ccc(NC(=O)C2CC3C=CC2C3)cc1,19
4956,ZINC000102752025,*=CC1CC(C=*)C(C(=O)NC(C)(C)c2nc(C)cs2)C1,Cc1csc(C(C)(C)NC(=O)C2CC3C=CC2C3)n1,19
4957,ZINC000952860104,*=CCN(C(=O)Cn1c(C2CC2)nc2ccccc21)C(C=*)CC,CCC1C=CCN1C(=O)Cn1c(C2CC2)nc2ccccc21,22
4958,ZINC000952860112,*=CCN(C(=O)COc1ccc(Cl)cc1C)C(C=*)CC,CCC1C=CCN1C(=O)COc1ccc(Cl)cc1C,19
4959,ZINC000952872547,*=CCC(CC=*)c1nc(COc2cccc(OC)c2)nn1CC,CCn1nc(COc2cccc(OC)c2)nc1C1CC=CC1,22
4960,ZINC000952962888,*=CCN(C(=O)c1ccc(C)c(F)c1F)C(C=*)CC,CCC1C=CCN1C(=O)c1ccc(C)c(F)c1F,18
4961,ZINC000952965624,*=CCN(C(=O)c1conc1-c1ccccc1)C(C=*)CC,CCC1C=CCN1C(=O)c1conc1-c1ccccc1,20
4962,ZINC000952965683,*=CCC(CC=*)C(=O)Nc1ccccc1OCC1CCCO1,O=C(Nc1ccccc1OCC1CCCO1)C1CC=CC1,21
4963,ZINC000952971179,*=CCN(C(=O)C(C)(C)Oc1ccccc1OC)C(C=*)CC,CCC1C=CCN1C(=O)C(C)(C)Oc1ccccc1OC,21
4964,ZINC000952971204,*=CCN(Cc1cc2c(cc1Cl)OCO2)C(C=*)CC,CCC1C=CCN1Cc1cc2c(cc1Cl)OCO2,18
4965,ZINC000952971584,*=CCN(C(C=*)CC)C1CCN(c2cccc(OC)c2)CC1,CCC1C=CCN1C1CCN(c2cccc(OC)c2)CC1,21
4966,ZINC000952973836,*=CCN(Cc1cn(C)nc1-c1ccccc1)C(C=*)CC,CCC1C=CCN1Cc1cn(C)nc1-c1ccccc1,20
4967,ZINC000952976496,*=CCN(C(=O)c1ccc(-c2cnco2)cc1)C(C=*)CC,CCC1C=CCN1C(=O)c1ccc(-c2cnco2)cc1,20
4968,ZINC000952977052,*=CCN(C(=O)CCc1nc2ccc(C)c(C)c2[nH]1)C(C=*)CC,CCC1C=CCN1C(=O)CCc1nc2ccc(C)c(C)c2[nH]1,22
4969,ZINC000952979071,*=CCN(C(C=*)CC)C1CCN(C(=O)c2cccs2)CC1,CCC1C=CCN1C1CCN(C(=O)c2cccs2)CC1,20
4970,ZINC000952980826,*=CCN(Cc1cc2c(cc1OC)OCCCO2)C(C=*)CC,CCC1C=CCN1Cc1cc2c(cc1OC)OCCCO2,21
4971,ZINC000952982041,*=CC1CC(C=*)C(C(=O)Nc2cccc(-c3cnc[nH]3)c2)C1,O=C(Nc1cccc(-c2cnc[nH]2)c1)C1CC2C=CC1C2,21
4972,ZINC000952983328,*=CCC(CC=*)C(=O)N1CCCC1c1ccc(CN(C)C)cc1,CN(C)Cc1ccc(C2CCCN2C(=O)C2CC=CC2)cc1,22
4973,ZINC000952987707,*=CCC(CC=*)C(=O)N(Cc1cccc(F)c1)C(C)COC,COCC(C)N(Cc1cccc(F)c1)C(=O)C1CC=CC1,21
4974,ZINC000952989885,*=CCN(C(=O)c1cc2ccccc2cn1)C(C=*)CC,CCC1C=CCN1C(=O)c1cc2ccccc2cn1,19
4975,ZINC000952990728,*=CCN(C(=O)CN1CCC(c2ccccc2)CC1)C(C=*)CC,CCC1C=CCN1C(=O)CN1CCC(c2ccccc2)CC1,22
4976,ZINC000100410816,*=CC1CC(C=*)C(CN2CCN(c3cccc(OC)c3)CC2)C1,COc1cccc(N2CCN(CC3CC4C=CC3C4)CC2)c1,22
4977,ZINC000100055892,*=CC1CC(C=*)C2(C)C(=O)N(c3cccc(C)c3C)C(=O)C12,Cc1cccc(N2C(=O)C3C4C=CC(C4)C3(C)C2=O)c1C,21
