,zinc_ids,polymer,reactants,n_polymer_atoms
12093,ZINC000408675490,*=CC1CC(C=*)C2C(=O)N(c3ccccc3C(=O)N3CCCCCC3)C(=O)C12,O=C(c1ccccc1N1C(=O)C2C3C=CC(C3)C2C1=O)N1CCCCCC1,27
12094,ZINC000409049845,*=CC1C2C(=O)N(c3ccc(Cl)c(C(=O)OCC)c3)C(=O)C2C(C=*)C12CC2,CCOC(=O)c1cc(N2C(=O)C3C(C2=O)C2C=CC3C23CC3)ccc1Cl,26
12095,ZINC000409289805,*=CC1CC(C=*)C2C(=O)N(c3ccc(Br)cc3Cl)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1c1ccc(Br)cc1Cl,20
12096,ZINC000409371524,*=CSC1=NC(C)=C(C(=O)OCC)C(c2cccc(OC)c2OC)N1C=*,CCOC(=O)C1=C(C)N=C2SC=CN2C1c1cccc(OC)c1OC,25
12097,ZINC000409376988,*=CSC1=NC(C)=C(C(=O)OCC)C(c2ccc(C(=O)OC)cc2)N1C=*,CCOC(=O)C1=C(C)N=C2SC=CN2C1c1ccc(C(=O)OC)cc1,25
12098,ZINC000409379123,*=CSC1=NC(C)=C(C(=O)OCC)C(c2ccc(OC)cc2OC)N1C=*,CCOC(=O)C1=C(C)N=C2SC=CN2C1c1ccc(OC)cc1OC,25
12099,ZINC000409380342,*=CC1C2C(=O)N(Cc3ccc(Br)cc3)C(=O)C2C(C=*)C12CC2,O=C1C2C(C(=O)N1Cc1ccc(Br)cc1)C1C=CC2C12CC2,22
12100,ZINC000004655785,*=Cc1ccccc1C(c1ccccc1C=*)N1C(=O)C(=NNC(N)=O)c2ccccc21,NC(=O)NN=C1C(=O)N(C2c3ccccc3C=Cc3ccccc32)c2ccccc21,30
12101,ZINC000169833803,*=CCC(CC(O)C#C)C(C=*)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,C#CC(O)CC1CC=CC1O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,28
12102,ZINC000097998548,*=CSC1=NC(=NCC(=O)Nc2ccccc2)C(=Cc2ccccc2)C(=O)N1C=*,O=C(CN=C1N=C2SC=CN2C(=O)C1=Cc1ccccc1)Nc1ccccc1,28
12103,ZINC000409401588,*=CC1CC(C=*)C2C(=O)N(N=Cc3cc(Cl)c(OCC=C)c(Cl)c3)C(=O)C12,C=CCOc1c(Cl)cc(C=NN2C(=O)C3C4C=CC(C4)C3C2=O)cc1Cl,26
12104,ZINC000409401627,*=CC1CC(C=*)C2C(=O)N(N=Cc3ccccc3OCc3ccccc3F)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1N=Cc1ccccc1OCc1ccccc1F,29
12105,ZINC000409402207,*=CC1CC(C=*)C2C(=O)N(N=Cc3cccc(OCc4ccccc4F)c3)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1N=Cc1cccc(OCc2ccccc2F)c1,29
12106,ZINC000409402342,*=CC1CC(C=*)C2C(=O)N(N=Cc3cccc(OCc4cccc(C)c4)c3)C(=O)C12,Cc1cccc(COc2cccc(C=NN3C(=O)C4C5C=CC(C5)C4C3=O)c2)c1,29
12107,ZINC000409402705,*=CC1CC(C=*)C2C(=O)N(N=Cc3ccccc3OCc3ccc(F)cc3)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1N=Cc1ccccc1OCc1ccc(F)cc1,29
12108,ZINC000409403540,*=CC1CC(C=*)C2C(=O)N(N=Cc3cc(C)n(-c4cccc(C)c4C)c3C)C(=O)C12,Cc1cccc(-n2c(C)cc(C=NN3C(=O)C4C5C=CC(C5)C4C3=O)c2C)c1C,29
