SN,Polymer_SMILES,Solvent_SMILES,Activities,log10(mmol_solvent/g_Polymer),liquid_density_solvent,MW_rdkit,log10MV
32,CC(=CC[*])C[*],c1ccccc1,0.80777,0.849724889,0.873,78.114,1.951714634
33,CC(=CC[*])C[*],c1ccccc1,0.84712,0.947305706,0.873,78.114,1.951714634
34,CC(=CC[*])C[*],c1ccccc1,0.93089,1.209874064,0.873,78.114,1.951714634
35,CC(=CC[*])C[*],c1ccccc1,0.95264,1.294737041,0.873,78.114,1.951714634
36,CC(=CC[*])C[*],c1ccccc1,0.96676,1.39715835,0.873,78.114,1.951714634
37,CC(=CC[*])C[*],c1ccccc1,0.9744,1.502846949,0.873,78.114,1.951714634
38,CC(=CC[*])C[*],c1ccccc1,0.9818,1.578113243,0.873,78.114,1.951714634
39,CC(=CC[*])C[*],c1ccccc1,0.98365,1.685822256,0.873,78.114,1.951714634
40,CC(=CC[*])C[*],c1ccccc1,0.99106,1.895690637,0.873,78.114,1.951714634
41,CC(=CC[*])C[*],c1ccccc1,0.99199,1.790741959,0.873,78.114,1.951714634
42,CC(=CC[*])C[*],c1ccccc1,0.99361,2.215456612,0.873,78.114,1.951714634
43,CC(=CC[*])C[*],c1ccccc1,0.99523,2.24165471,0.873,78.114,1.951714634
44,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.06,0.159741532,0.782,41.053,1.720138146
45,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.1,0.159741532,0.782,41.053,1.720138146
46,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.15,0.159741532,0.782,41.053,1.720138146
47,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.2,0.16628333,0.782,41.053,1.720138146
48,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.25,0.153842705,0.782,41.053,1.720138146
49,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.1387036,0.749743953,0.784,58.08,1.869710545
50,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.30138051,0.919045857,0.784,58.08,1.869710545
51,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.402931521,1.024732518,0.784,58.08,1.869710545
52,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.548300543,1.176021673,0.784,58.08,1.869710545
53,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.63607286,1.267368504,0.784,58.08,1.869710545
54,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.740561649,1.376112584,0.784,58.08,1.869710545
55,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.893598485,1.535381823,0.784,58.08,1.869710545
56,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.969900219,1.614790933,0.784,58.08,1.869710545
57,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.024730303,0.526734525,0.787,32.042,1.609744884
58,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.148286141,0.875530835,0.787,32.042,1.609744884
59,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.298697198,1.110900843,0.787,32.042,1.609744884
60,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.43712943,1.26269728,0.787,32.042,1.609744884
61,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.584870499,1.392248372,0.787,32.042,1.609744884
62,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.789478612,1.544269038,0.787,32.042,1.609744884
63,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.896077389,1.618548064,0.787,32.042,1.609744884
64,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.957411019,1.661833534,0.787,32.042,1.609744884
65,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.999787094,1.69279064,0.787,32.042,1.609744884
66,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.246574238,0.666170268,1.069,90.078,1.92564103
67,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.26691006,0.690581124,1.069,90.078,1.92564103
68,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.337432345,0.768811187,1.069,90.078,1.92564103
69,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.373516314,0.805743247,1.069,90.078,1.92564103
70,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.496833223,0.921397557,1.069,90.078,1.92564103
71,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.519946562,0.941836119,1.069,90.078,1.92564103
72,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.653919603,1.057937341,1.069,90.078,1.92564103
73,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.756051356,1.152654524,1.069,90.078,1.92564103
74,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.811529203,1.217233461,1.069,90.078,1.92564103
75,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.847539828,1.301139597,1.069,90.078,1.92564103
76,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(C)=O,0.294192387,0.822934596,0.927,74.079,1.902615377
77,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(C)=O,0.36908307,0.900670435,0.927,74.079,1.902615377
78,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(C)=O,0.637473395,1.141163458,0.927,74.079,1.902615377
79,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(C)=O,0.798589206,1.46748815,0.927,74.079,1.902615377
80,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(C)=O,0.833206683,1.388645718,0.927,74.079,1.902615377
81,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,CC(C)=O,1,0.541324762,0.784,58.08,1.869710545
82,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.10045,-0.154508394,1.318,84.933,1.809161054
83,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.13083,-0.060434316,1.318,84.933,1.809161054
84,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.14155349,-0.012656135,1.318,84.933,1.809161054
85,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.17315,0.018549025,1.318,84.933,1.809161054
86,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.177608683,0.066692937,1.318,84.933,1.809161054
87,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.20162,0.109786258,1.318,84.933,1.809161054
88,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.25183,0.248589345,1.318,84.933,1.809161054
89,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.26775293,0.210239147,1.318,84.933,1.809161054
90,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.28510005,0.23219185,1.318,84.933,1.809161054
91,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.287595208,0.235239078,1.318,84.933,1.809161054
92,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.3019,0.222296773,1.318,84.933,1.809161054
93,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.308214239,0.259452825,1.318,84.933,1.809161054
94,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.35249,0.19345849,1.318,84.933,1.809161054
95,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.374290715,0.327378065,1.318,84.933,1.809161054
96,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.40358,0.239234781,1.318,84.933,1.809161054
97,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.427569713,0.373917948,1.318,84.933,1.809161054
98,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.45697,0.316951188,1.318,84.933,1.809161054
99,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.50438,0.358298475,1.318,84.933,1.809161054
100,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.517217323,0.440482187,1.318,84.933,1.809161054
101,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.05952,-0.43689919,0.782,41.053,1.720138146
102,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.062844748,-0.392943529,0.782,41.053,1.720138146
103,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.06571,-0.406103634,0.782,41.053,1.720138146
104,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.065825862,-0.379302344,0.782,41.053,1.720138146
105,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.087644375,-0.295041081,0.782,41.053,1.720138146
106,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.09124,-0.303935319,0.782,41.053,1.720138146
107,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.120766638,-0.200684641,0.782,41.053,1.720138146
108,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.126879146,-0.186151759,0.782,41.053,1.720138146
109,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.12896,-0.196236991,0.782,41.053,1.720138146
110,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.13631,-0.178984092,0.782,41.053,1.720138146
111,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.169429384,-0.101029098,0.782,41.053,1.720138146
112,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.18408,-0.085469873,0.782,41.053,1.720138146
113,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.215753536,-0.029887661,0.782,41.053,1.720138146
114,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.222935979,-0.02024873,0.782,41.053,1.720138146
115,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.22605,-0.021541734,0.782,41.053,1.720138146
116,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.23494,-0.009535251,0.782,41.053,1.720138146
117,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.2421,-0.000191041,0.782,41.053,1.720138146
118,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.277436656,0.044125161,0.782,41.053,1.720138146
119,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.29761,0.064063071,0.782,41.053,1.720138146
120,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.301174931,0.068289837,0.782,41.053,1.720138146
121,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.31985,0.086494946,0.782,41.053,1.720138146
122,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.320423352,0.086524564,0.782,41.053,1.720138146
123,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.33764,0.103342797,0.782,41.053,1.720138146
124,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.338706042,0.102857186,0.782,41.053,1.720138146
125,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.35679,0.120514056,0.782,41.053,1.720138146
126,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.363978745,0.124038534,0.782,41.053,1.720138146
127,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.3682,0.130312141,0.782,41.053,1.720138146
128,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.3771,0.13774629,0.782,41.053,1.720138146
129,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.38174,0.141552782,0.782,41.053,1.720138146
130,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.4475,0.191023265,0.782,41.053,1.720138146
131,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.448778251,0.185682573,0.782,41.053,1.720138146
132,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.50107,0.226217077,0.782,41.053,1.720138146
133,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.510994533,0.223896366,0.782,41.053,1.720138146
134,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.5239,0.24008522,0.782,41.053,1.720138146
135,CC(F)(F)F.CC1=C(C)C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)=C(C)C(C)=C1[*],c1ccccc1,0.10138,0.092990815,0.873,78.114,1.951714634
136,CC(F)(F)F.CC1=C(C)C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)=C(C)C(C)=C1[*],c1ccccc1,0.20138,0.184400815,0.873,78.114,1.951714634
137,CC(F)(F)F.CC1=C(C)C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)=C(C)C(C)=C1[*],c1ccccc1,0.30557,0.423890815,0.873,78.114,1.951714634
138,CC(F)(F)F.CC1=C(C)C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)=C(C)C(C)=C1[*],c1ccccc1,0.40556,0.582940815,0.873,78.114,1.951714634
139,CC(F)(F)F.CC1=CC(C)=C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)C(C)=C1[*],c1ccccc1,0.09984,0.325170815,0.873,78.114,1.951714634
140,CC(F)(F)F.CC1=CC(C)=C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)C(C)=C1[*],c1ccccc1,0.20226,0.191710815,0.873,78.114,1.951714634
141,CC(F)(F)F.CC1=CC(C)=C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)C(C)=C1[*],c1ccccc1,0.30159,0.290440815,0.873,78.114,1.951714634
142,CC(F)(F)F.CC1=CC(C)=C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)C(C)=C1[*],c1ccccc1,0.4049,0.429370815,0.873,78.114,1.951714634
143,CC([*])(C[*])C(=O)OC[Si](C)(C)C,c1ccccc1,0.06621,-1.421945833,0.873,78.114,1.951714634
144,CC([*])(C[*])C(=O)OC[Si](C)(C)C,c1ccccc1,0.20226,-1.586475833,0.873,78.114,1.951714634
145,CC([*])(C[*])C(=O)OC[Si](C)(C)C,c1ccccc1,0.3111,-1.725415833,0.873,78.114,1.951714634
146,CC([*])(C[*])C(=O)OC[Si](C)(C)C,c1ccccc1,0.40092,-1.950285833,0.873,78.114,1.951714634
147,CC([*])=C([*])[Si](C)(C)C,CC(C)=O,0.112743483,0.577074322,0.784,58.08,1.869710545
148,CC([*])=C([*])[Si](C)(C)C,CC(C)=O,0.244026843,0.719834301,0.784,58.08,1.869710545
149,CC([*])=C([*])[Si](C)(C)C,CC(C)=O,0.418643525,0.865814319,0.784,58.08,1.869710545
150,CC([*])=C([*])[Si](C)(C)C,CC(C)=O,0.570056544,0.969551249,0.784,58.08,1.869710545
151,CC([*])=C([*])[Si](C)(C)C,CC(C)=O,0.792732655,1.101064682,0.784,58.08,1.869710545
152,CC([*])=C([*])[Si](C)(C)C,CC(C)=O,0.958990975,1.191283397,0.784,58.08,1.869710545
153,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.001313012,-1.359925782,0.621,72.151,2.065150755
154,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.001412937,-1.04249085,0.621,72.151,2.065150755
155,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.001591968,-0.540742865,0.621,72.151,2.065150755
156,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.001822199,-0.693288963,0.621,72.151,2.065150755
157,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.00262085,-0.300757504,0.621,72.151,2.065150755
158,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.002741825,-0.397038047,0.621,72.151,2.065150755
159,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.004008214,-0.232820983,0.621,72.151,2.065150755
160,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.004311853,-0.154967227,0.621,72.151,2.065150755
161,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.0044,-1.34422884,0.621,72.151,2.065150755
162,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.00446,-0.263733292,0.621,72.151,2.065150755
163,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.004652414,-0.120090247,0.621,72.151,2.065150755
164,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.005918372,-0.074374827,0.621,72.151,2.065150755
165,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.006031075,-0.106111028,0.621,72.151,2.065150755
166,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.00731,-0.2459645,0.621,72.151,2.065150755
167,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.007665134,-0.26940461,0.621,72.151,2.065150755
168,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.007819594,-0.006860015,0.621,72.151,2.065150755
169,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.007955352,0.043984193,0.621,72.151,2.065150755
170,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.00822532,-0.029769788,0.621,72.151,2.065150755
171,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.00836,-0.11417817,0.621,72.151,2.065150755
172,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.010283593,0.057955559,0.621,72.151,2.065150755
173,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.01086769,0.028930685,0.621,72.151,2.065150755
174,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.01201,-0.027729569,0.621,72.151,2.065150755
175,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.013028375,0.113378563,0.621,72.151,2.065150755
176,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.01311,0.036079727,0.621,72.151,2.065150755
177,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.01424097,0.115537859,0.621,72.151,2.065150755
178,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.014523964,0.082628641,0.621,72.151,2.065150755
179,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.015840466,0.159087552,0.621,72.151,2.065150755
180,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.01704,0.11103976,0.621,72.151,2.065150755
181,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.018659893,0.124215816,0.621,72.151,2.065150755
182,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.018778477,0.198980777,0.621,72.151,2.065150755
183,CC([*])=C([*])[Si](C)(C)C,CCCCC,0.020366176,0.158379212,0.621,72.151,2.065150755
