polymer_smiles,ROP of,monomer_smiles,Enthalpy of Polymerization (kJ/mol),Glass Transition Temperature (K),Specific Heat Capacity (J {gK}^{-1}),Tensile Strength at break (MPa),Thermal Decomposition Temperature (K),Youngs Modulus (GPa),fitness
[*]CCC(CC1(O[*])CCSC1)NS(=O)(=O)CC(C)COC1CCCC1,Ether,CC(COC1CCCC1)CS(=O)(=O)NC1CCOC2(CCSC2)C1,17.240913216273164,300.82518142461777,1.4237843641638754,14.90140386298299,538.4019789174199,0.3103166504462809,0.0064742822233333
[*]OC(C)CN(CC([*])C)CC1CN(Cc2ccc(CC)cn2)CC1CO,Ether,CCc1ccc(CN2CC(CO)C(CN3CC(C)OC(C)C3)C2)nc1,15.352312550997954,291.8436751663685,1.3733892145752906,15.381848158687356,559.9187322109938,0.3055523854583502,0.006474234157643
[*]CCC(NC(=O)C(C)N)C(C)(C)O[*],Ether,CC(N)C(=O)NC1CCOC1(C)C,4.981680537075174,392.3658487796784,1.416425897181034,14.829514900594951,525.8839126110076,0.2631489101920277,0.0064742279934889
[*]CCC(NC(=O)[C@@H](C)N)C(C)(C)O[*],Ether,C[C@@H](N)C(=O)NC1CCOC1(C)C,4.981680537075174,392.3658487796784,1.416425897181034,14.829514900594951,525.8839126110076,0.2631489101920277,0.0064742279934889
[*]CCC(NC(=O)[C@H](C)N)C(C)(C)O[*],Ether,C[C@H](N)C(=O)NC1CCOC1(C)C,4.981680537075174,392.3658487796784,1.416425897181034,14.829514900594951,525.8839126110076,0.2631489101920277,0.0064742279934889
[*]OCCCC(N)C([*])C1CCN(CC(=O)N2C(C)CCCC2C)CC1,Ether,CC1CCCC(C)N1C(=O)CN1CCC(CC1)C1OCCCC1N,28.660004345010435,357.0913922190666,1.2639007544517518,15.162865931540727,573.5250779807568,0.2825613477340341,0.0064742169299747
[*]CCN(CC(C)CS([*])(=O)=O)C(=O)Nc1nnc(CC(F)(F)F)s1,Thioether,CC1CN(CCS(=O)(=O)C1)C(=O)Nc1nnc(CC(F)(F)F)s1,-10.386576705192432,387.66129752993584,1.0629802127182484,15.925328595191242,575.5860392555595,0.2876016002996265,0.0064741798397203
[*]SCCCCC([*])CNS(=O)(=O)N(C)CC1CC1,Thioether,CN(CC1CC1)S(=O)(=O)NCC1CCCCS1,-44.67419083609371,273.0353134125471,1.5524883300065992,15.441070020198824,558.1459106370806,0.3217778086911141,0.0064741579494207
[*]C(CCCCS([*])(=O)=O)C(=O)N1CCN(CC(C)C)C(=O)C1,Thioether,CC(C)CN1CCN(CC1=O)C(=O)C1CCCCS1(=O)=O,13.64209702990656,368.5956761240959,1.329474174082279,14.779367776960136,602.0101586848498,0.2712861182762682,0.0064741163324177
[*]=CCCCC(=[*])C(O)CCN,Cycloalkene,NCCC(O)C1=CCCC1,-15.51685138373556,314.46357068419456,1.5949109548330305,15.458592470735312,494.2399952754378,0.2693830824556947,0.0064741091201249
[*]OCCCCC([*])CNC(=O)N1CCC(C)C1CO,Ether,CC1CCN(C1CO)C(=O)NCC1CCCCO1,5.839832346585192,319.63646188378334,1.3402518552541731,14.867720247060062,563.551579682529,0.2869310169422626,0.0064741033382572
[*]CCCCC(=O)C=C(S[*])c1cc(F)ccc1C(=O)O,Thiocane,O=C1C=C(c2cc(F)ccc2C(=O)O)SCCCC1,1.2660808523237257,314.21504351496696,1.0529353420436385,17.049346509575845,553.5280249983073,0.319919772464782,0.006474093003113
[*]CCCCC(=O)C=C(S[*])c1ccc(F)cc1C(=O)O,Thiocane,O=C1C=C(c2ccc(F)cc2C(=O)O)SCCCC1,1.266080852320997,314.21504351496696,1.0529353420436385,17.049345020204782,553.5280249983073,0.319919772464782,0.0064740917155035
[*]CCCCC(=O)C=C(S[*])C(C)NC1CCCC(C2CC2)C1,Thiocane,CC(NC1CCCC(C2CC2)C1)C1=CC(=O)CCCCS1,-46.87120359312743,306.18359357118607,1.3282464152574538,14.89921299815178,549.2089791387319,0.3056959669451415,0.0064740302590276
[*]CCN(CCO[*])CCONC(=O)C1CCC1,Ether,O=C(NOCCN1CCOCC1)C1CCC1,-18.603028207168705,272.0659723728895,1.7105161708593366,15.453649248182776,549.041879144311,0.2982592326772213,0.0064740234361619
[*]CCC(O)(CCO[*])C(=O)N1CCC(OCC(C)C)C1,Ether,CC(C)COC1CCN(C1)C(=O)C1(O)CCOCC1,4.822876782513595,334.7495890557766,1.468640111684799,15.30825535580516,558.7595482975245,0.2712228506348282,0.0064739761290895
[*]CCC(CO[*])COCc1cc(C(=O)O)sc1C,Ether,Cc1sc(cc1COCC1CCOC1)C(O)=O,2.2238349927767738,271.7278515845537,1.3859911927580832,15.366594020277264,576.106215544045,0.3112263872763514,0.0064738446837085
[*]OC(C)CNCC([*])(C)CCCCCC,Ether,CCCCCCC1(C)CNCC(C)O1,9.18850929179717,246.26439261436465,2.002667279243469,16.949446945637465,584.4693389117718,0.3190014529306442,0.006473821651492
[*]OC(C)(C)CNCC([*])CCCCCC,Ether,CCCCCCC1CNCC(C)(C)O1,9.18850929179717,246.26439261436465,2.002667279243469,16.949446945637465,584.4693389117718,0.3190014529306442,0.006473821651492
[*]SCCN(C)C(=O)C([*])C(=O)N(C)CCCN1CCCC1,Thioether,CN(CCCN1CCCC1)C(=O)C1SCCN(C)C1=O,8.280301181097572,289.94308987259865,1.4477445879578588,14.535583053529264,542.9281909123063,0.3188513152115792,0.0064738152877538
[*]OCCCC([*])CNc1nnc(C)s1,Ether,Cc1nnc(NCC2CCCO2)s1,9.295705132658936,310.96008440852165,1.523336678147316,15.531975272297862,579.210947111249,0.2836146958519518,0.0064738129334599
[*]SCCCC([*])CCNC(=O)C(=O)OCC,Thioether,CCOC(=O)C(=O)NCCC1CCCS1,-2.767362229845528,296.51159489154816,1.1869643723964691,15.199129138141872,572.8765533328057,0.3043364725811034,0.0064738044096231
[*]CCC(CC(S[*])C(C)C)NS(=O)(=O)N(CC)CC,Thioether,CCN(CC)S(=O)(=O)NC1CCSC(C(C)C)C1,7.853483097333169,289.80379554629326,1.7689482158422467,14.059742403775456,542.0988691180944,0.3321596918994933,0.0064737959571246
[*]CC(C(CS[*])C(=O)O)N(C)CC=C,Thioether,C=CCN(C)C1CSCC1C(=O)O,-8.12640557246631,279.8911159336567,1.4377587369084357,14.11980129182339,548.4581859290599,0.3231692199859023,0.0064737941036185
