Polymer Canonical SMILES,Solvent Canonical SMILES,Activities,Uptake Sorption(log10),liquid_density_solvent,MW_rdkit,log10MV
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.215753536,-0.029887661,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.222935979,-0.02024873,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.22605,-0.021541734,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.23494,-0.009535251,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.2421,-0.000191041,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.277436656,0.044125161,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.29761,0.064063071,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.301174931,0.068289837,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.31985,0.086494946,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.320423352,0.086524564,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.33764,0.103342797,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.338706042,0.102857186,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.35679,0.120514056,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.363978745,0.124038534,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.3682,0.130312141,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.3771,0.13774629,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.38174,0.141552782,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.4475,0.191023265,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.448778251,0.185682573,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.50107,0.226217077,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.510994533,0.223896366,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.5239,0.24008522,0.782,41.053,1.720138146
CC(F)(F)F.CC1=C(C)C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)=C(C)C(C)=C1[*],c1ccccc1,0.10138,0.092990815,0.873,78.114,1.951714634
CC(F)(F)F.CC1=C(C)C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)=C(C)C(C)=C1[*],c1ccccc1,0.20138,0.184400815,0.873,78.114,1.951714634
CC(F)(F)F.CC1=C(C)C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)=C(C)C(C)=C1[*],c1ccccc1,0.30557,0.423890815,0.873,78.114,1.951714634
CC(F)(F)F.CC1=C(C)C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)=C(C)C(C)=C1[*],c1ccccc1,0.40556,0.582940815,0.873,78.114,1.951714634
CC(F)(F)F.CC1=CC(C)=C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)C(C)=C1[*],c1ccccc1,0.09984,0.325170815,0.873,78.114,1.951714634
CC(F)(F)F.CC1=CC(C)=C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)C(C)=C1[*],c1ccccc1,0.20226,0.191710815,0.873,78.114,1.951714634
CC(F)(F)F.CC1=CC(C)=C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)C(C)=C1[*],c1ccccc1,0.30159,0.290440815,0.873,78.114,1.951714634
CC(F)(F)F.CC1=CC(C)=C(N2C(=O)C3=CC=C(C(C4=CC=C5C(=O)N([*])C(=O)C5=C4)C(F)(F)F)C=C3C2=O)C(C)=C1[*],c1ccccc1,0.4049,0.429370815,0.873,78.114,1.951714634
CC([*])(C[*])C(=O)OC[Si](C)(C)C,c1ccccc1,0.06621,-1.421945833,0.873,78.114,1.951714634
CC([*])(C[*])C(=O)OC[Si](C)(C)C,c1ccccc1,0.20226,-1.586475833,0.873,78.114,1.951714634
CC([*])(C[*])C(=O)OC[Si](C)(C)C,c1ccccc1,0.3111,-1.725415833,0.873,78.114,1.951714634
CC([*])(C[*])C(=O)OC[Si](C)(C)C,c1ccccc1,0.40092,-1.950285833,0.873,78.114,1.951714634
CC([*])=C([*])[Si](C)(C)C,CC(C)=O,0.112743483,0.577074322,0.784,58.08,1.869710545
CC([*])=C([*])[Si](C)(C)C,CC(C)=O,0.244026843,0.719834301,0.784,58.08,1.869710545
CC([*])=C([*])[Si](C)(C)C,CC(C)=O,0.418643525,0.865814319,0.784,58.08,1.869710545
CC([*])=C([*])[Si](C)(C)C,CC(C)=O,0.570056544,0.969551249,0.784,58.08,1.869710545
CC([*])=C([*])[Si](C)(C)C,CC(C)=O,0.792732655,1.101064682,0.784,58.08,1.869710545
CC([*])=C([*])[Si](C)(C)C,CC(C)=O,0.958990975,1.191283397,0.784,58.08,1.869710545
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.001313012,-1.359925782,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.001412937,-1.04249085,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.001591968,-0.540742865,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.001822199,-0.693288963,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.00262085,-0.300757504,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.002741825,-0.397038047,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.004008214,-0.232820983,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.004311853,-0.154967227,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.0044,-1.34422884,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.00446,-0.263733292,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.004652414,-0.120090247,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.005918372,-0.074374827,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.006031075,-0.106111028,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.00731,-0.2459645,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.007665134,-0.26940461,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.007819594,-0.006860015,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.007955352,0.043984193,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.00822532,-0.029769788,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.00836,-0.11417817,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.010283593,0.057955559,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.01086769,0.028930685,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.01201,-0.027729569,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.013028375,0.113378563,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.01311,0.036079727,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.01424097,0.115537859,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.014523964,0.082628641,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.015840466,0.159087552,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.01704,0.11103976,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.018659893,0.124215816,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.018778477,0.198980777,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.020366176,0.158379212,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.02117,0.152572262,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.023905192,0.161751824,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.02546,0.136720567,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.02831,0.195610091,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.030223874,0.207044536,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.03095042,0.19771507,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.036,0.225087083,0.621,72.151,2.065150755
CC([*])=C([*])[Si](C)(C)C,CCCCC,0.037813716,0.235675406,0.621,72.151,2.065150755
