smiles_string,d_exp_CH4,d_exp_CO2,d_exp_H2,d_exp_He,d_exp_N2,d_exp_O2,d_sim_CH4,d_sim_CO2,d_sim_N2,d_sim_O2,p_exp_CH4,p_exp_CO2,p_exp_H2,p_exp_He,p_exp_N2,p_exp_O2,p_sim_CH4,p_sim_CO2,p_sim_N2,p_sim_O2,s_exp_CH4,s_exp_CO2,s_exp_H2,s_exp_He,s_exp_N2,s_exp_O2,s_sim_CH4,s_sim_CO2,s_sim_N2,s_sim_O2
[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CCCCC2)cc1,-8.832682665,-7.899629455,,,-8.078313525,-7.744727495,-9.262807357,-8.181114585,-8.120330794,-7.462180905,-11.03763066,-9.657577319,-9.040958608,-9.0,-10.9788107,-10.22184875,-10.67366414,-8.962573502,-10.31069114,-9.397940009,-2.204948016,-1.757947876,,,-2.900497187,-2.477121298,-1.411351534,-0.780550747,-2.190380566,-1.935985405
[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)c3ccccc3-c3ccccc32)cc1,-8.552841969,-7.739928612,,,-7.970616222,-7.40560745,,,,,-10.23582387,-8.821023053,,-8.661543506,-10.22767829,-9.49757288,,,,,-1.682981899,-1.081094441,,,-2.257062093,-2.091965433,-1.154633066,-0.446546638,-1.903565783,-1.689342325
[*]Oc1ccc(C2(c3ccc(Oc4ccc(C([*])=O)cc4)cc3)OC(=O)c3ccccc32)cc1,,,,,,,,,,,-10.32790214,-8.931814138,,-8.790484985,-10.38721614,-9.66756154,,,,,,,,,,,,,,
[*]Oc1ccc(C2(c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(N6C(=O)c7ccc([*])cc7C6=O)cc4)C5=O)cc3)CCC(c3ccccc3)CC2)cc1,,,,,,,,-6.669586227,,,,,,,,,,-7.11463878,,,,,,,,,,-0.445104881,,
[*]Oc1ccc(Cc2ccc(Oc3c(F)c(F)c(COC(c4ccc(C(OCc5c(F)c(F)c([*])c(F)c5F)(C(F)(F)F)C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)c(F)c3F)cc2)cc1,,,,,,,,,,,-10.48148606,-9.119186408,-8.744727495,-8.48148606,-10.25963731,-9.638272164,,,,,,,,,,,,,,
[*]Oc1ccc(N)c(NC(=O)c2cc(C(c3ccc(C(=O)Nc4ccc([*])cc4N)c(C(=O)O)c3)(C(F)(F)F)C(F)(F)F)ccc2C(=O)O)c1,,,,,,,,,,,-11.06048075,-9.432973634,,-8.723538196,-10.76955108,-10.01322827,,,,,,,,,,,,,,
[*]Oc1ccc(N2C(=O)C3=C(C2=O)C2C=CC3C3=C2C(=O)N(c2ccc([*])c(OC)c2)C3=O)cc1OC,,,,,,,,,,,,,-9.28567024,-9.211831629,-10.61978876,-10.43179828,,,,,,,,,,,,,,
[*]Oc1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(Oc6cccc([*])c6C#N)cc4)C5=O)cc3C2=O)cc1,,,,,,,-6.896196279,,,,,,,,,,-8.149966742,,,,,,,,,,-1.253722232,,,
[*]Oc1ccc(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc([*])c(OC)c4)C5=O)cc3C2=O)cc1OC,,,,,,,,,,,,,-9.343901798,-9.260427656,-11.39794001,-10.7212464,,,,,,,,,,,,,,
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Oc2ccc(Cl)cc2)cc1,,,,,,,-6.759450752,,,,,,,,,,-8.195860568,,,,,,,,,,-1.436310207,,,
[*]Oc1ccc(OC(=O)c2ccc3ccccc3c2Oc2nc(Oc3c(C([*])=O)ccc4ccccc34)nc(N3CCCCC3)n2)c2c1C(=O)c1ccccc1C2=O,,,,,,,,,-6.492144128,,,,,,,,,,-8.505845406,,,,,,,,,,-2.013333181,
[*]Oc1ccc(OC(=O)c2cccc(C(=O)Oc3ccc(OC(=O)c4ccc(OC(=O)c5ccc(C(=O)Oc6ccc(C([*])=O)cc6)cc5)cc4)cc3)c2)cc1,,,,,,,,,-6.417936637,,,,,,,,,,-8.882728704,,,,,,,,,,-2.46325475,
[*]Oc1ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(Cc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)cc1,,,,,,,,,,,-11.65364703,-9.913640169,-9.294136288,,-11.44611697,-10.61618463,,,,,,,,,,,,,,
[*]Oc1ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)cc1,,,,,,,,,,,,,-9.397940009,,-11.46852108,-10.66554625,,,,,,,,,,,,,,
[*]Oc1ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)cc2)C3=O)cc1,,,,,,,,,,,-11.39794001,-9.744727495,,,-10.27572413,-10.39794001,,,,,,,,,,,,,,
[*]Oc1ccc(Oc2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)cc1,,,,,,,,,,,,-10.22329882,-9.425968732,,-11.79588002,-10.82681373,,,,,,,,,,,,,,
[*]Oc1ccc(Oc2cccc([*])c2C#N)c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,,,,,,,,,,,-10.08092191,-8.721246399,-8.455931956,,-9.950781977,-9.180456064,,,,,,,,,,,,,,
[*]Oc1ccc(Oc2cccc([*])c2C#N)c(-c2cccc(C(F)(F)F)c2)c1,,,,,,,,,,,-11.04575749,-9.431798276,-9.031517051,,-10.82390874,-10.06048075,,,,,,,,,,,,,,
[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C)cc(-c4cc(C)c([*])c(C)c4C)c(C)c3C)cc2)cc1,-7.931814138,,,,,,,,,,-10.0259491,-8.59345982,-8.200659451,-8.27572413,-9.920818754,-9.22184875,,,,,-2.094134962,,,,,,-1.217521564,-0.640043412,-1.976719467,-1.767703896
[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3cc(C)c(C(c4cc(C(C)C)c([*])cc4C)c4ccccc4C(=O)O)cc3C(C)C)cc2)cc1,,,,,,,,,,,-9.946921557,-8.600326279,-8.304518324,,-10.12090412,-9.343901798,,,,,,,,,,,,,,
[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3cc(C)c(C4(c5cc(C(C)C)c([*])cc5C)OC(=O)c5ccccc54)cc3C(C)C)cc2)cc1,,,,,,,,,,,-10.03245202,-8.71219827,-8.514278574,,-10.15552282,-9.314258261,,,,,,,,,,,,,,
[*]Oc1ccc(S(=O)c2ccc(OC([*])=O)cc2)cc1,,,,,,,,,-7.301029996,,,,,,,,,,-9.661543506,,,,,,,,,,-2.361130029,
[*]Oc1ccc(Sc2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,,,,,-6.472370099,,,,,,,,,,-6.943095149,,,,,,,,,,-0.471788728,,
[*]Oc1ccc([*])cc1,-7.266000713,-6.829738285,,,-6.93930216,,-8.785156152,-7.946921557,-8.266802735,,-8.284832642,-8.12090412,-7.946921557,-8.107348966,-9.419075024,-8.801342913,,,,,-1.018831927,-1.291165833,,,-2.479772927,,,,,
[*]Oc1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(Oc5c(C)ccc(C)c5[*])cc4C3=O)c(C)c1C)C2=O,,,,,,,,,,,-9.721246399,-8.200659451,-8.0,-8.142667504,-9.688246139,-8.958607315,,,,,,,,,,,,,,
[*]Oc1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(Oc5cc(C(C)(C)C)cc(C)c5[*])cc4C3=O)c(C)c1C)C2=O,,,,,,,,,,,-9.657577319,-8.173925197,-7.958607315,-8.075720714,-9.602059991,-8.886056648,,,,,,,,,,,,,,
[*]Oc1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(Oc5cc(C)c([*])c(C)c5C)cc4C3=O)c(C)c1C)C2=O,,,,,,,,,,,-9.119186408,-7.698970004,-7.638272164,-8.022276395,-9.091514981,-8.48148606,,,,,,,,,,,,,,
[*]Oc1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(Oc5cc(C)ccc5[*])cc4C3=O)c(C)c1C)C2=O,,,,,,,,,,,-10.32790214,-8.698970004,-8.387216143,-8.48148606,-10.22914799,-9.455931956,,,,,,,,,,,,,,
[*]Oc1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(Oc5cccc(C)c5[*])cc4C3=O)c(C)c1C)C2=O,,,,,,,,,,,-10.15490196,-8.568636236,-8.292429824,-8.387216143,-10.08092191,-9.318758763,,,,,,,,,,,,,,
[*]Oc1ccc2c(c1)C(=O)N(c1cc(C)c(C)c(N3C(=O)c4ccc(Oc5cc(C)ccc5[*])cc4C3=O)c1C)C2=O,,,,,,,,,,,-10.24412514,-8.657577319,-8.387216143,-8.468521083,-10.18708664,-9.408935393,,,,,,,,,,,,,,
[*]Oc1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(-c8ccc(N9C(=O)c%10ccc([*])cc%10C9=O)cc8)cc7C(F)(F)F)cc6)C(=O)N(c6ccccc6)c6ccccc65)cc4)c(C(F)(F)F)c3)cc1)C2=O,,,,,,,,,,,-10.07572071,-8.835647144,,,-10.01772877,-9.374687549,,,,,,,,,,,,,,
[*]Oc1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(-c8ccc(N9C(=O)c%10ccc([*])cc%10C9=O)cc8)cc7C(F)(F)F)cc6)c6ccccc6-c6ccccc65)cc4)c(C(F)(F)F)c3)cc1)C2=O,,,,,,,,,,,-9.982966661,-8.586700236,,,-9.913640169,-9.104577454,,,,,,,,,,,,,,
[*]Oc1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc(Oc6cc(C)c([*])c(C)c6C)cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,,,,,,,,,,,-9.769551079,-8.26760624,-8.113509275,-8.148741651,-9.721246399,-9.031517051,,,,,,,,,,,,,,
[*]Oc1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,,,,,,,,,,,,,-9.250263684,,-11.55284197,-10.58335949,,,,,,,,,,,,,,
[*]Oc1ccc2c(c1)C(=O)N(c1ccc(N(c3ccccc3)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,,,,,,,,,,,-11.07058107,-9.540607512,-8.935542011,,-10.93181414,-10.11918641,,,,,,,,,,,,,,
[*]Oc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc1)C2=O,,,,,,,,,-6.793174124,,,,,,,,,,-8.735182177,,,,,,,,,,-1.941881165,
[*]Oc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C4(c5ccc(Oc6ccc(N7C(=O)c8ccc([*])cc8C7=O)cc6)cc5)c5ccccc5-c5ccccc54)cc3)cc1)C2=O,,,,,,,-6.913640169,,,,,,,,,,-7.946921557,,,,,,,,,,-1.032600481,,,
[*]Oc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,,,,,,,,,,,,,-9.482804102,-9.645891561,-11.58502665,-10.73754891,,,,,,,,,,,,,,
[*]Oc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3C(F)(F)F)c(C(F)(F)F)c1)C2=O,,,,,,,,,,,,,-9.016373713,-8.928117993,-11.04575749,-10.21467016,,,,,,,,,,,,,,
[*]Oc1ccc2c(c1)C(=O)N(c1ccc(Oc3cccc(N4C(=O)c5ccc([*])cc5C4=O)c3)cc1)C2=O,,,,,,,,,-7.086716098,,,,,,,,,,-9.115204636,,,,,,,,,,-2.028569114,
[*]Oc1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C5(CC(C)(C)c7ccc([*])cc75)CC6(C)C)cc4C3=O)c1)C2=O,-8.910094889,-7.913640169,,-5.596879479,-8.452225295,-7.774690718,-9.216811309,-8.752026734,-9.540607512,-7.301029996,-10.8096683,-9.346787486,,-8.684029655,-10.69897,-9.860120914,-10.20760831,-9.030118356,-11.32330639,-8.879426069,-1.899573414,-1.433147316,,-3.087150079,-2.246744739,-2.08543018,-0.991113735,-0.27831659,-1.782535455,-1.5796793
[*]Oc1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C5(Cc7ccc([*])cc7C5(C)C)CC6(C)C)cc4C3=O)c1)C2=O,,,,,,,,,,,-10.8096683,-9.346787486,,-8.684029655,-10.70553377,-9.866461092,,,,,,,,,,,,,,
[*]Oc1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,,,,,,,,,,,-12.19382003,-10.5214335,,,-11.92081875,-11.09151498,,,,,,,,,,,,,,
[*]Oc1ccc2c(c1)C(=O)n1c-2nc2ccc(Oc3ccc4c(c3)nc3n4C(=O)c4cc([*])ccc4-3)cc21,,,,,,,,,,,,,-9.162411562,,-11.58335949,-10.65364703,,,,,,,,,,,,,,
[*]Oc1ccc2cc(-c3nc4ccccc4nc3-c3ccc4cc(OC(=O)c5cccc(C([*])=O)c5)ccc4c3)ccc2c1,,,,,,,,-6.552841969,,,,,,,,,,-7.216096421,,,,,,,,,,-0.663362968,,
[*]Oc1ccc2cc(Oc3ccc4c(=O)n5c6cc(-c7ccc8c(c7)nc7c9ccc([*])c%10cccc(c(=O)n87)c%109)ccc6nc5c5cccc3c45)ccc2c1,,,,,,,-7.037630664,,,,,,,,,,-8.379863945,,,,,,,,,,-1.342352685,,,
[*]Oc1ccc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc(C([*])=O)cc7C6=O)cc5)cc3)C4=O)cc2c1,,,,,,,,-6.716698771,,,,,,,,,,-7.028260409,,,,,,,,,,-0.311588914,,
[*]Oc1ccc2nc(-c3ccccc3)c(-c3ccc(-c4nc5cc([*])ccc5nc4-c4ccccc4)cc3)nc2c1,,,,,,,,,,,,,-8.764471553,,-9.463441557,-9.705533774,,,,,,,,,,,,,,
[*]Oc1ccc2nc3c4cc5c(cc4c(=O)n3c2c1)c(=O)n1c2ccc([*])cc2nc51,,,,,,,,,,,,,-9.295849483,,-11.88605665,-10.85387196,,,,,,,,,,,,,,
[*]Oc1cccc(C(F)(F)C(F)(F)C(F)(F)c2cccc(OC([*])=O)c2)c1,,,,,,,,-6.585026652,,,,,,,,,,-7.42136079,,,,,,,,,,-0.836246375,,
[*]Oc1cccc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCCCCCCCOc4ccc(N=Cc5ccc(C([*])=O)cc5)cc4F)c(F)c3)cc2)c1,,,,,,,,,,-6.42945706,,,,,,,,,,-8.821023053,,,,,,,,,,-2.390946501
[*]Oc1cccc(Oc2ccc([*])cc2-c2cc(C)cc(C)c2)c1C#N,,,,,,,,,,,-11.22184875,-9.455931956,-9.017728767,,-10.76955108,-10.02687215,,,,,,,,,,,,,,
[*]Oc1cccc(Oc2ccc([*])cc2-c2cccc(C)c2)c1C#N,,,,,,,,,,,-11.30103,-9.721246399,-9.167491087,,-11.15490196,-10.34678749,,,,,,,,,,,,,,
[*]Oc1cccc(Oc2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(-c5ccc(Oc6ccc(N7C(=O)c8ccc([*])cc8C7=O)cc6)cc5)cc4)cc2)C3=O)c1,,,,,,,-9.841637508,,-8.54668166,-8.360513511,,,,,,,-11.2313619,,-10.71219827,-10.27164622,,,,,,,-1.389738485,-0.579113289,-2.1646091,-1.910757994
[*]SCCCCCCCCCSC([*])=O,,,,,,,-6.381951903,,,,,,,,,,-8.403402904,,,,,,,,,,-2.02149701,,,
[*]Sc1ccc([*])cc1,-8.823908741,-7.962573502,,,-8.420216403,-7.946921557,-10.21968269,-8.07007044,-8.281498311,-7.501689446,-11.28149831,-9.899629455,,-9.393618635,-11.42365865,-10.63827216,-12.09636748,-9.220403509,-10.8569852,-9.777283529,-2.457589529,-1.937055954,,,-3.003442362,-2.691350657,-1.876419666,-1.150372568,-2.575464467,-2.275694878
[*]Sc1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,,,,,,,,,,,,,-9.26520017,,-11.56863624,-10.60906489,,,,,,,,,,,,,,
[*]Sc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,,,,,,,,,,,,-9.019996628,-8.590066877,,-10.95078198,-9.962573502,,,,,,,,,,,,,,
[*]Sc1cccc2c1C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5cccc([*])c5C4=O)cc3)cc1)C2=O,,,,,,,,,,,,-8.790484985,-8.161150909,,-10.33441901,-9.517126416,,,,,,,,,,,,,,
[*]c1c(C)c(C)c(-n2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)C2(C(C)C)C3=CC4Oc5cc7c(cc5OC4C=C3C6(C(C)C)c3ccccc32)C(=O)N([*])C7=O)c(C)c1C,,,,,,,,,,,,,-6.378823718,,-7.772113295,-7.08249449,,,,,,,,,,,,,,
[*]c1c(C)c(C)c(-n2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)C2(C(C)C)c3cc4oc5cc7c(=O)n([*])c(=O)c7cc5oc4cc3C23c2ccccc2C63C(C)C)c(C)c1C,,,,,,,,,,,-7.978810701,-6.621602099,-6.400116928,-6.752026734,-7.970616222,-7.202732459,,,,,,,,,,,,,,
[*]c1c(C)c(C)c(-n2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)C2(CC(C)(C)c3cc4oc5cc7c(=O)n([*])c(=O)c7cc5oc4cc32)CC6(C)C)c(C)c1C,,,,,,,,,,,-8.113509275,-6.958607315,-7.27572413,-7.585026652,-8.327902142,-7.823908741,,,,,,,,,,,,,,
[*]c1c(C)c(C)c(N2C(=O)c3cc4c(cc3C2=O)C2(CC(C)(C)c3cc5c(cc32)C(=O)N([*])C5=O)CC4(C)C)c(C)c1C,,,,,,,,,,,-7.408935393,-6.404503778,-6.716698771,-7.107905397,-7.590066877,-7.140861703,,,,,,,,,,,,,,
[*]c1c(C)c(C)c(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c(C)c1C,,,,,,,,,,,,,-7.966576245,,-9.580044252,-8.928117993,,,,,,,,,,,,,,
[*]c1c(C)c(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N([*])C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(C)c1C,,,,,,,,,,-5.36251027,-8.549750892,-7.348721986,-7.308034897,-7.441291429,-8.527243551,-7.954677021,,,,-6.677780705,,,,,,,,,,-1.314413946
[*]c1c(C)c(C)c(N2C(=O)c3ccc(Oc4ccc(C(C)(C)C)cc4Oc4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c(C)c1C,,,,,,,,,,,-9.508638306,-8.148741651,-8.040958608,-8.193820026,-9.59345982,-8.920818754,,,,,,,,,,,,,,
[*]c1c(C)c(C)cc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)C)cc4Oc4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1C,,,,,,,,,,,-9.602059991,-8.200659451,-8.070581074,-8.200659451,-9.657577319,-8.958607315,,,,,,,,,,,,,,
[*]c1c(C)c2c(c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)c1C)C(C)(C)CC2,,,,,,,,,,,-8.621602099,-7.482804102,,,-8.657577319,-8.078833949,,,,,,,,,,,,,,
[*]c1c(C)c2c(c(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)c1C)C(C)(C)CC2,,,,,,,,,,,-9.091514981,-7.853871964,,,-9.070581074,-8.42945706,,,,,,,,,,,,,,
[*]c1c(C)c2c(c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N([*])C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c1C)C(C)(C)CC2,,,,,,,,,,,-8.296708622,-7.159893906,,,-8.232102384,-7.70333481,,,,,,,,,,,,,,
[*]c1c(C)c2c(c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)c1C)C(C)(C)CC2,,,,,,,,,,,-8.987162775,-7.793174124,,,-8.987162775,-8.35753548,,,,,,,,,,,,,,
[*]c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(C(C)C)c4ccc(cc4)C5(C(C)C)c4cc5c(cc43)C(=O)N([*])C5=O)c3ccccc23)c2ccccc12,,,,,,,,,,,-7.675717545,-6.501689446,-6.651695137,-7.039529222,-7.795880017,-7.226213555,,,,,,,,,,,,,,
[*]c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(C)c4ccc(cc4)C5(C)c4cc5c(cc43)C(=O)N([*])C5=O)c3ccccc23)c2ccccc12,,,,,,,,,,,-7.665546249,-6.431798276,-6.515700161,-6.928117993,-7.739928612,-7.106238238,,,,,,,,,,,,,,
[*]c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(CC(C)(C)c4cc6c(cc43)C(=O)N([*])C6=O)CC5(C)C)c3ccccc23)c2ccccc12,,,,,,,,,,,-7.444905551,-6.394694954,-6.790484985,-7.204119983,-7.673664139,-7.193820026,,,,,,,,,,,,,,
[*]c1c(C)cc(-c2cccc3c(-n4c(=O)c5cc6oc7cc8c(cc7oc6cc5c4=O)C4(CC(C)(C)c5cc6oc7cc9c(=O)n([*])c(=O)c9cc7oc6cc54)CC8(C)C)c(C)ccc23)c2ccccc12,,,,,,,,,,,-7.585026652,-6.431798276,-6.795880017,-7.180456064,-7.795880017,-7.263603498,,,,,,,,,,,,,,
[*]c1c(C)cc(C)c(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)c1C,,,,,,,,,,,,,-7.628932138,,-9.073657553,-8.440093375,,,,,,,,,,,,,,
[*]c1c(C)cc(C)c(C(=O)c2cccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)c2)c1C,,,,,,,,,,-6.021363052,,,,,,,,,,-7.485452247,,,,,,,,,,-1.463602933
[*]c1c(C)cc(C)c(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1C,,,,,,,,,,,-9.094743951,-7.795880017,-7.68613278,,-9.099086932,-8.476253533,,,,,,,,,,,,,,
[*]c1c(C)cc(C)c(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1C,,,,,,,,,,,-9.903089987,-8.510041521,-8.235077015,,-9.89279003,-9.181774106,,,,,,,,,,,,,,
[*]c1c(C)cc(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N([*])C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1C,,,,,,,,,,,-8.632644079,-7.303643611,-7.325138859,,-8.552841969,-7.987162775,,,,,,,,,,,,,,
[*]c1c(C)cc(C)c(N2C(=O)c3ccc(Oc4ccc(Oc5ccc6c(c5)C(=O)N([*])C6=O)cc4)cc3C2=O)c1C,,,,,,,,,,,,,-8.397940009,,-10.13548892,-9.354577731,,,,,,,,,,,,,,
[*]c1c(C)cc(C)c(N2C(=O)c3ccc(S(=O)(=O)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1C,,,,,,,,,,,,,-8.326979093,,-9.991399828,-9.244887734,,,,,,,,,,,,,,
[*]c1c(C)cc(C)c(N2C(=O)c3ccc(Sc4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1C,,,,,,,,,,,,,-8.163675884,,-9.790484985,-9.086186148,,,,,,,,,,,,,,
[*]c1c(C)cc2c(c1C)CN1CN2Cc2c1cc(C)c(-n1c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c1=O)c2C,,,,,,,,,,,-7.443697499,-6.350665141,-6.48148606,,-7.537602002,-6.966576245,,,,,,,,,,,,,,
[*]c1c(C)cc2c(c1C)CN1CN2Cc2c1cc(C)c(N1C(=O)c3cc4c(cc3C1=O)C1(CC(C)(C)c3cc5c(cc31)C(=O)N([*])C5=O)CC4(C)C)c2C,,,,,,,,,,,-7.228412519,-6.289036881,-6.494850022,,-7.428291168,-6.946921557,,,,,,,,,,,,,,
[*]c1c(C)cc2c(c1C)CN1CN2Cc2c1cc(C)c(N1C(=O)c3cc4c(cc3C1=O)C1(c3ccccc3-c3cc5c(cc31)C(=O)N([*])C5=O)c1ccccc1-4)c2C,,,,,,,,,,,-7.43062609,-6.348721986,-6.537602002,,-7.578396073,-7.026410377,,,,,,,,,,,,,,
[*]c1c(C)cc2c(c1C)CN1CN2Cc2c1cc(C)c(N1C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N([*])C5=O)(C(F)(F)F)C(F)(F)F)cc3C1=O)c2C,,,,,,,,,,,-7.935542011,-6.777283529,-6.838631998,,-7.876148359,-7.389339837,,,,,,,,,,,,,,
[*]c1c(F)c(F)c(Oc2ccc(C(c3ccc(Oc4c(F)c(F)c(S([*])(=O)=O)c(F)c4F)cc3)(C(F)(F)F)C(F)(F)F)cc2)c(F)c1F,,,,,,,-6.866461092,,,,,,,,,,-8.050609993,,,,,,,,,,-1.184327428,,,
[*]c1c([2H])c([2H])c(Oc2c([2H])c([2H])c(S(=O)(=O)c3c([2H])c([2H])c(Oc4c([2H])c([2H])c(C([*])(C([2H])([2H])[2H])C([2H])([2H])[2H])c([2H])c4[2H])c([2H])c3[2H])c([2H])c2[2H])c([2H])c1[2H],,,,,,,,,-6.63638802,,,,,,,,,,-8.906578315,,,,,,,,,,-2.269998137,
[*]c1cc(-c2ccccc2)c([*])[nH]1,,,,,,,,-6.13667714,,,,,,,,,,-6.107348966,,,,,,,,,,0.029282238,,
[*]c1cc(-c2nc3ccc(-c4ccc5[nH]c(-c6ccc(C([*])(C(F)(F)F)C(F)(F)F)cc6)nc5c4)cc3[nH]2)cc(C(C)(C)C)c1,,,,,,,,,,,-11.15490196,-9.536107011,-8.913640169,-8.88941029,-10.88605665,-10.22184875,,,,,,,,,,,,,,
[*]c1cc(-c2nc3ccc(-c4ccc5[nH]c([*])nc5c4)cc3[nH]2)cc(C(C)(C)C)c1,,,,,,,,,,,-11.30103,-9.718966633,-8.970616222,-8.995678626,-11.22184875,-10.37675071,,,,,,,,,,,,,,
[*]c1cc(-c2nc3ccc(-c4ccc5c(c4)nc([*])n5C[Si](C)(C)C)cc3n2C[Si](C)(C)C)cc(C(C)(C)C)c1,,,,,,,,,,,,,,-8.575118363,,,,,,,,,,,,,,,,
