,smiles1,smiles2,smiles3,c1,c2,c3,Temp(C),RH(%),lw,prop,value
372,Cc1c(O*)c(C[N+](C)(CCCCCCCN(C)C)C)cc(C2(c3c(c4c2cccc4)cccc3)c5cc(C[N+](C)(C)CCCCCCCN(C)C)c(Oc6ccc(S(=O)(c7ccc(*)cc7)=O)cc6)c(CBr)c5)c1.[OH-], O=S(=O)(c6ccc(Oc5ccc(C4(c1ccc(O*)cc1)c2ccccc2c3ccccc34)cc5)cc6)c7ccc(*)cc7,*CC*,100.0,0.0,0.0,60.0,100.0,1,OHCond(mS/cm),104.4776
373,Cc1c(O*)c(C[N+](C)(CCCCCCCN(C)C)C)cc(C2(c3c(c4c2cccc4)cccc3)c5cc(C[N+](C)(C)CCCCCCCN(C)C)c(Oc6ccc(S(=O)(c7ccc(*)cc7)=O)cc6)c(CBr)c5)c1.[OH-], O=S(=O)(c6ccc(Oc5ccc(C4(c1ccc(O*)cc1)c2ccccc2c3ccccc34)cc5)cc6)c7ccc(*)cc7,*CC*,100.0,0.0,0.0,50.0,100.0,1,OHCond(mS/cm),90.01148
374,Cc1c(O*)c(C[N+](C)(CCCCCCCN(C)C)C)cc(C2(c3c(c4c2cccc4)cccc3)c5cc(C[N+](C)(C)CCCCCCCN(C)C)c(Oc6ccc(S(=O)(c7ccc(*)cc7)=O)cc6)c(CBr)c5)c1.[OH-], O=S(=O)(c6ccc(Oc5ccc(C4(c1ccc(O*)cc1)c2ccccc2c3ccccc34)cc5)cc6)c7ccc(*)cc7,*CC*,100.0,0.0,0.0,40.0,100.0,1,OHCond(mS/cm),74.58094
375,Cc1c(O*)c(C[N+](C)(CCCCCCCN(C)C)C)cc(C2(c3c(c4c2cccc4)cccc3)c5cc(C[N+](C)(C)CCCCCCCN(C)C)c(Oc6ccc(S(=O)(c7ccc(*)cc7)=O)cc6)c(CBr)c5)c1.[OH-], O=S(=O)(c6ccc(Oc5ccc(C4(c1ccc(O*)cc1)c2ccccc2c3ccccc34)cc5)cc6)c7ccc(*)cc7,*CC*,100.0,0.0,0.0,25.0,100.0,1,OHCond(mS/cm),67.27899
376,Cc1c(O*)c(C[N+](C)(CCCCCCCN(C)C)C)cc(C2(c3c(c4c2cccc4)cccc3)c5cc(C[N+](C)(C)CCCCCCCN(C)C)c(Oc6ccc(S(=O)(c7ccc(*)cc7)=O)cc6)c(CBr)c5)c1.[OH-], O=S(=O)(c6ccc(Oc5ccc(C4(c1ccc(O*)cc1)c2ccccc2c3ccccc34)cc5)cc6)c7ccc(*)cc7,*CC*,40.0,60.0,0.0,70.0,100.0,1,OHCond(mS/cm),55.56831
377,Cc1c(O*)c(C[N+](C)(CCCCCCCN(C)C)C)cc(C2(c3c(c4c2cccc4)cccc3)c5cc(C[N+](C)(C)CCCCCCCN(C)C)c(Oc6ccc(S(=O)(c7ccc(*)cc7)=O)cc6)c(CBr)c5)c1.[OH-], O=S(=O)(c6ccc(Oc5ccc(C4(c1ccc(O*)cc1)c2ccccc2c3ccccc34)cc5)cc6)c7ccc(*)cc7,*CC*,40.0,60.0,0.0,60.0,100.0,1,OHCond(mS/cm),38.07118
378,Cc1c(O*)c(C[N+](C)(CCCCCCCN(C)C)C)cc(C2(c3c(c4c2cccc4)cccc3)c5cc(C[N+](C)(C)CCCCCCCN(C)C)c(Oc6ccc(S(=O)(c7ccc(*)cc7)=O)cc6)c(CBr)c5)c1.[OH-], O=S(=O)(c6ccc(Oc5ccc(C4(c1ccc(O*)cc1)c2ccccc2c3ccccc34)cc5)cc6)c7ccc(*)cc7,*CC*,40.0,60.0,0.0,50.0,100.0,1,OHCond(mS/cm),33.66246
379,Cc1c(O*)c(C[N+](C)(CCCCCCCN(C)C)C)cc(C2(c3c(c4c2cccc4)cccc3)c5cc(C[N+](C)(C)CCCCCCCN(C)C)c(Oc6ccc(S(=O)(c7ccc(*)cc7)=O)cc6)c(CBr)c5)c1.[OH-], O=S(=O)(c6ccc(Oc5ccc(C4(c1ccc(O*)cc1)c2ccccc2c3ccccc34)cc5)cc6)c7ccc(*)cc7,*CC*,40.0,60.0,0.0,40.0,100.0,1,OHCond(mS/cm),31.32032
380,Cc1c(O*)c(C[N+](C)(CCCCCCCN(C)C)C)cc(C2(c3c(c4c2cccc4)cccc3)c5cc(C[N+](C)(C)CCCCCCCN(C)C)c(Oc6ccc(S(=O)(c7ccc(*)cc7)=O)cc6)c(CBr)c5)c1.[OH-], O=S(=O)(c6ccc(Oc5ccc(C4(c1ccc(O*)cc1)c2ccccc2c3ccccc34)cc5)cc6)c7ccc(*)cc7,*CC*,40.0,60.0,0.0,25.0,100.0,1,OHCond(mS/cm),28.70264
381,Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc4ccc(C(c3ccc(O*)cc3)(C(F)(F)F)C(F)(F)F)cc4, Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc5ccc(Oc3ccc(O*)cc3[n+]4ccccc4)cc5[n+]6ccccc6.[Cl-],*CC*,62.5,37.5,0.0,80.0,100.0,1,OHCond(mS/cm),1.274275
382,Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc4ccc(C(c3ccc(O*)cc3)(C(F)(F)F)C(F)(F)F)cc4, Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc5ccc(Oc3ccc(O*)cc3[n+]4ccccc4)cc5[n+]6ccccc6.[Cl-],*CC*,62.5,37.5,0.0,70.0,100.0,1,OHCond(mS/cm),1.217661
383,Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc4ccc(C(c3ccc(O*)cc3)(C(F)(F)F)C(F)(F)F)cc4, Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc5ccc(Oc3ccc(O*)cc3[n+]4ccccc4)cc5[n+]6ccccc6.[Cl-],*CC*,62.5,37.5,0.0,60.0,100.0,1,OHCond(mS/cm),1.015264
