,PID,smiles1,value_COE
7926,P400384,[*]CCCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,116.7879197
3626,P320053,[*]CC(CC([*])(C#N)C#N)(OC(C)=O)c1ccc(OC(C)=O)cc1,117.5289244
8576,P430246,[*]CC(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)N([*])C4=O)cc2)cc1,117.8472152
8578,P430248,[*]CC(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N([*])C4=O)cc2)cc1,118.911293
4175,P342067,[*]CC([*])C(=O)Nc1ccccc1,119.0179638
224,P020198,[*]CC([*])c1ccc(OC(C)=O)cc1,119.4451253
3632,P320059,[*]CC(CC([*])(C#N)C#N)c1ccc(Cl)cc1,119.4985743
8577,P430247,[*]CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N([*])C4=O)cc2)cc1,119.9801532
3134,P130250,[*]C(=O)NCCCCCCNC(=O)c1ccc(N2C(=O)c3ccc([*])cc3C2=O)cc1,120.0873022
3133,P130249,[*]C(=O)NCCNC(=O)c1ccc(N2C(=O)c3ccc([*])cc3C2=O)cc1,120.0873022
3975,P340005,[*]CC([*])C(=O)NC,120.0873022
3631,P320058,[*]CC(CC([*])(C#N)C#N)c1ccc(F)cc1,120.2481154
2204,P100070,[*]CCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,121.0537957
2312,P100189,[*]CCCCC(=O)N[*],121.0537957
2703,P100812,[*]Nc1cccc(C=CC(=O)C=Cc2cccc(NC(=O)CCCCC([*])=O)c2)c1,121.161423
3162,P130332,[*]C(=O)Nc1ccccc1NC(=O)c1ccc(N2C(=O)c3ccc([*])cc3C2=O)cc1,121.5924104
8898,P432097,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(C)(C)c4ccc(Oc5ccc(N6C(=O)c7ccc(C([*])(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,123.2154279
4102,P340155,[*]CC([*])C(=O)NC(C)=O,123.5413227
9432,P432886,[*]C(=O)Oc1ccc(OC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)c(C(C)(C)C)c1,124.0309718
3130,P130230,[*]c1ccc2c(c1)C(=O)N(c1ccc(C(C)(C)c3ccc(N4C(=O)c5ccc(C([*])(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc1)C2=O,125.3961896
7925,P400383,[*]CCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,125.3961896
3183,P130364,[*]c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc(C([*])(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,125.3961896
3630,P320057,[*]CC(CC([*])(C#N)C#N)c1ccc(OC(C)=O)cc1,126.0541484
