SN,smiles,eib
104,[*]C(=O)c1ccc2c(c1)C(=O)n1c-2nc2ccc(-c3ccc4c(c3)nc3n4C(=O)c4ccc([*])cc4-3)cc21,0.7705441624424689
105,[*]c1cc2c(s1)-c1sc([*])cc1C2=O,0.7710390701355365
106,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],0.7755603758921743
107,[*]N=CC(C)=CC=CC=C(C)C=Nc1nc(-c2csc([*])n2)cs1,0.7758793208264856
108,[*]C(S1)=CC=C1C(=S)OC(=S)[*],0.7782229709910369
109,[*]c1ccc(SSc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,0.7812958001505517
110,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(-c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc3)cc1)C2=O,0.7874571962210903
111,[*]c1ccc(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)c(CP(=O)(OCC)OCC)c1,0.7930738182485979
112,[*]CCCCCCCCn1c(=O)c2ccc3c4ccc5c(=O)n([*])c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,0.8036289201482956
113,[*]CCCCCCCCCn1c(=O)c2cc3c(=O)n([*])c(=O)c3cc2c1=O,0.8041655348858892
114,[*]CC(=S)C(=O)O[*],0.8060029444116452
115,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc([*])cc4C3=O)nc1)C2=O,0.8076728740753025
116,[*]C(=O)c1ccc(N=Nc2ccc(C(=O)N3C(=O)N([*])C(CC)(CC)C3=O)cc2)cc1,0.8125938256168372
117,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccc([*])cc4C3=O)c1C)C2=O,0.8275860711408658
118,[*]CCCCCCCCCCn1c(=O)c2cc3c(=O)n([*])c(=O)c3cc2c1=O,0.8295318194731012
119,[*]c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c(OC)c2)cc1OC,0.8295994731481579
120,[*]CCCCCCCCCn1c(=O)c2cc3c(=O)n([*])c(=O)c3c(Br)c2c1=O,0.8296722582540861
121,[*]C=Cc1ccc([*])nc1,0.8545863656579242
