,composition,load,hardness,category,type
194,HoB12,0.49,28.44,exp,only_exp
195,HoC2,1.72,5.61,exp,only_exp
196,HoMn2Si2 ,0.49,5.5,exp,only_exp
197,HoPd3 ,0.98,3.89,exp,only_exp
198,InBi0.024Sb0.976 ,0.98,4.36,exp,only_exp
199,InN,0.02,9.8,exp,only_exp
200,Ir0.5Pt0.5 ,9.8,1.09,exp,only_exp
201,IrB1.35,0.98,37.9,exp,only_exp
202,IrB1.35,1.96,29,exp,only_exp
203,IrB1.35,2.94,22.2,exp,only_exp
204,IrB1.35,4.9,21.3,exp,only_exp
205,IrB1.35 ,0.49,49.8,exp,only_exp
206,IrB1.35 ,9.81,18.2,exp,only_exp
207,La0.5Ce0.5O1.75 ,9.8,7.378,exp,only_exp
208,La3Te4,0.49,4.315,exp,only_exp
209,LaB6,0.29,27.16,exp,only_exp
210,LaC2 ,2.942,2.4,exp,only_exp
211,LaCo0.75Ni3.95Al0.3,0.98,7.3,exp,only_exp
212,LaCo2.5Ni2.5 ,0.98,4.78,exp,only_exp
213,LaMnNi4 ,0.49,6.01,exp,only_exp
214,LaNi3.5Al1.5 ,0.49,5.38,exp,only_exp
215,LaRh3B,2.94,4.2,exp,only_exp
216,Lu2Fe14C,0.98,8.05,exp,only_exp
217,LuAl3 ,0.98,4.33,exp,only_exp
218,LuC2 ,1.72,5.88,exp,only_exp
219,LuRh3B,2.94,7.7,exp,only_exp
220,Mg2B25C4 ,2,32,exp,only_exp
221,MgB2 ,0.98,5.2,exp,only_exp
222,MgCr0.2Al1.8O4,2.45,16.24,exp,only_exp
223,MgLaAl11O19 ,3.92,14.4,exp,only_exp
224,Mn0.04W0.96B4,0.49,53.68335825,exp,only_exp
225,Mn0.04W0.96B4,0.98,44.24763328,exp,only_exp
226,Mn0.04W0.96B4,1.96,36.43124066,exp,only_exp
227,Mn0.04W0.96B4,2.94,34.2202292,exp,only_exp
228,Mn0.04W0.96B4,4.9,31.69780767,exp,only_exp
229,Mn0.33Pt0.67 ,9.8,1.13,exp,only_exp
230,Mn0.3W0.7B4,0.49,47.17488789,exp,only_exp
231,Mn0.3W0.7B4,0.98,39.57648231,exp,only_exp
232,Mn0.3W0.7B4,1.96,33.84653712,exp,only_exp
233,Mn0.3W0.7B4,2.94,32.38290982,exp,only_exp
234,Mn0.3W0.7B4,4.9,30.04733433,exp,only_exp
235,Mn0.5W0.5B4,0.49,41.00896861,exp,only_exp
236,Mn0.5W0.5B4,0.98,32.2894868,exp,only_exp
237,Mn0.5W0.5B4,1.96,30.10961634,exp,only_exp
238,Mn0.5W0.5B4,2.94,28.9573991,exp,only_exp
239,Mn0.5W0.5B4,4.9,26.71524664,exp,only_exp
240,Mn2B,0.49,17.45,exp,only_exp
241,Mn5Si3,0.98,8.3,exp,only_exp
242,MnB,0.49,18,exp,only_exp
243,MnB2 ,0.49,12.4,exp,only_exp
244,MnB50,0.49,41.29,exp,only_exp
245,MnSi,0.98,11.2,exp,only_exp
246,Mo0.03W0.97B4,0.49,50.31496063,exp,only_exp
247,Mo0.03W0.97B4,0.98,45.07874016,exp,only_exp
248,Mo0.03W0.97B4,1.96,40.31496063,exp,only_exp
249,Mo0.03W0.97B4,2.94,36.33858268,exp,only_exp
250,Mo0.03W0.97B4,4.9,33.42519685,exp,only_exp
251,Mo0.1W0.9B4,0.49,43.66141732,exp,only_exp
252,Mo0.1W0.9B4,0.98,38.11023622,exp,only_exp
253,Mo0.1W0.9B4,1.96,34.17322835,exp,only_exp
254,Mo0.1W0.9B4,2.94,31.92913386,exp,only_exp
255,Mo0.1W0.9B4,4.9,29.60629921,exp,only_exp
256,Mo0.2Pt0.8 ,9.8,1.06,exp,only_exp
257,Mo0.5W0.5B4,0.49,39.6,exp,only_exp
258,Mo0.5W0.5B4,0.98,33,exp,only_exp
259,Mo0.5W0.5B4,1.96,30,exp,only_exp
260,Mo0.5W0.5B4,4.9,26,exp,only_exp
261,Mo0.65Os0.35 ,0.98,14.06,exp,only_exp
262,Mo0.6Ru0.4 ,0.49,10,exp,only_exp
263,Mo2B,0.49,24.52,exp,only_exp
264,Mo3.2Pt0.8 ,0.98,13.53,exp,only_exp
265,Mo3Fe3N,0.98,20.3,exp,only_exp
266,Mo3Ni2N,0.98,20.5,exp,only_exp
267,Mo3Os,0.98,12.07,exp,only_exp
268,Mo3Pd2N,0.49,17.1,exp,only_exp
269,Mo3Pt2N,0.98,19.4,exp,only_exp
270,MoB,0.49,23.78,exp,only_exp
271,MoB2,0.49,23.04,exp,only_exp
272,MoFe2,0.5,4.8,exp,only_exp
273,MoPt,0.98,12.75,exp,only_exp
274,Nb,0.98,0.53,exp,only_exp
275,Nb0.07Fe0.81B0.12 ,1,5.673,exp,only_exp
276,Nb0.07Pt0.93 ,9.8,1.16,exp,only_exp
277,Nb0.67Al0.33,0.98,12.26,exp,only_exp
278,Nb0.95Al0.05 ,0.98,4.41,exp,only_exp
279,Nb2Al,0.98,3.7265,exp,only_exp
280,Nb3B2,0.49,10.46,exp,only_exp
281,Nb3B2,1.96,5.08,exp,only_exp
282,Nb3Ga,0.49,9.81,exp,only_exp
283,Nb3Ge,0.98,9.11,exp,only_exp
284,Nb3Si,0.49,7.12,exp,only_exp
285,Nb3Sn,0.98,6.8,exp,only_exp
286,Nb3Sn0.5Ge0.5 ,0.98,9.1,exp,only_exp
287,Nb5Ga3,0.98,10.42,exp,only_exp
288,Nb5GaSn2,0.98,9.65,exp,only_exp
289,Nb5Ge3,0.98,10.42,exp,only_exp
290,NbB,0.49,21.53,exp,only_exp
291,NbB,1.96,16.58,exp,only_exp
292,NbCr2,4.9,2.704,exp,only_exp
293,NbGe2,0.98,7.8,exp,only_exp
294,NbN,0.49,20,exp,only_exp
295,NdB6,0.69,24.91,exp,only_exp
296,NdC2,1.72,2.35,exp,only_exp
297,NdFeRu,49.03,5.3,exp,only_exp
298,NdMn2Si2,0.49,6.3,exp,only_exp
299,NdPd2Ge,0.98,4.61,exp,only_exp
300,NdRh3B,0.98,4.9,exp,only_exp
301,NdRuCo,49.03,5.49,exp,only_exp
302,NdRuNi,49.03,4.9,exp,only_exp
303,Ni0.05Ga0.95Sb,1.96,5.07,exp,only_exp
304,Ni2B,0.5,14.02,exp,only_exp
305,Ni3B,0.49,11.67,exp,only_exp
306,NiB50,0.49,39.13,exp,only_exp
307,Os0.3Ru0.7B2,0.49,23.5,exp,only_exp
308,Os0.3Ru0.7B2,1.96,15,exp,only_exp
309,Os0.5Ru0.5B2,0.49,22,exp,only_exp
310,Os0.5Ru0.5B2,1.96,15.5,exp,only_exp
311,Os0.8Ru0.2B2,0.49,23,exp,only_exp
312,Os0.8Ru0.2B2,1.96,16.5,exp,only_exp
313,Os2Si3,0.98,19.61,exp,only_exp
314,OsSi,0.98,14.22,exp,only_exp
315,Pd20Te7,0.98,5.05,exp,only_exp
316,Pd3.5Te,0.98,2.54,exp,only_exp
317,Pd3Te2,0.98,2.7,exp,only_exp
318,Pd9Te4 ,0.98,1.73,exp,only_exp
319,Pr0.03Nd0.65Fe3NiSb12 ,0.49,1.86,exp,only_exp
320,PrB6,0.98,24.22,exp,only_exp
321,PrC2 ,1.72,1.37,exp,only_exp
322,PrMn2Si2 ,0.49,6.5,exp,only_exp
323,Pt0.5Pd0.5 ,9.8,0.74,exp,only_exp
324,Pt0.915Sn0.085 ,9.8,1.4,exp,only_exp
325,Pt0.91Al0.09 ,9.8,0.59,exp,only_exp
326,Pt0.96Ge0.04 ,9.8,1.21,exp,only_exp
327,Re0.25Pt0.75 ,9.8,0.85,exp,only_exp
328,Re0.6W0.4B2,0.49,48.17,exp,only_exp
329,Re0.6W0.4B2,0.98,38.03,exp,only_exp
330,Re0.6W0.4B2,1.96,34.76,exp,only_exp
331,Re0.6W0.4B2,2.94,32.52,exp,only_exp
332,Re0.6W0.4B2,4.9,30.31,exp,only_exp
333,Re0.9Si0.1 ,0.98,10.79,exp,only_exp
334,Re2Si,0.98,12.75,exp,only_exp
335,Re3B,0.98,16.57,exp,only_exp
336,Re7B3,0.98,16.18,exp,only_exp
337,ReB2,0.49,40.45,exp,only_exp
338,ReB2,0.98,35.08,exp,only_exp
339,ReB2,1.96,31.73,exp,only_exp
340,ReB2,2.93,30.3,exp,only_exp
341,ReB2,4.9,29.31,exp,only_exp
342,ReSi,0.98,17.16,exp,only_exp
343,ReSi2 ,0.98,22.56,exp,only_exp
344,Rh0.5Pt0.5 ,9.8,0.71,exp,only_exp
345,Rh20Si13,0.98,11.08,exp,only_exp
346,Rh2Si,0.98,2.06,exp,only_exp
347,Rh3Si2,0.98,9.22,exp,only_exp
348,Rh3Si4,0.98,10.2,exp,only_exp
349,Rh4Si5,0.98,11.38,exp,only_exp
350,Rh5Si3,0.98,10.79,exp,only_exp
351,Rh7B3,0.49,7.62,exp,only_exp
352,RhB1.1,0.49,11.89,exp,only_exp
353,RhSi,0.98,11.03,exp,only_exp
354,Ru0.5Ir0.5Al,1.96,2.765,exp,only_exp
355,Ru0.5Pt0.5 ,9.8,1.68,exp,only_exp
