rgroups,num_atoms
[*]c1nccc(C)c1Br,9
[*]N1C(=O)CSC12C(=O)N(CN1CCCC1)c1ccccc12,22
[*]N1CC2CCC(C)(C1)OC2(C)C,13
[*]CC1=C(C)CCC1=O,9
[*]N1CCCC2OC(C=C)CC21,12
[*]c1ccc2c(n1)CCOC2,11
[*]N1CCC(=O)N(CCCC)c2ccccc21,17
[*]CCCC(=S)N1CCOCC1,12
[*]N1CC2CN(C)C(=O)C2C1,11
[*]N1Cc2c(ccc(C)c2C)C1=O,13
[*]CC1=NN(C)C(=O)C1,9
[*]c1ncc(C2=CCN(C)CC2)cn1,14
[*]c1c(Br)nc2n1CCOC2,11
[*]c1nnc(Cl)s1,7
[*]N1C(C#N)CCC1C#N,10
[*]OCP(=O)(OC)OC,9
[*]N1COc2ccc3c4c(oc3c2C1)C(=O)c1ccccc1C4=O,24
[*]N1C(=O)CC2OC(=O)C=C21,11
[*]c1cc2n(n1)CCN(S(=O)(=O)N1CCOCC1)C2,19
[*]CCCC(=C)C,7
[*]c1nc(Br)ccc1C,9
[*]c1c(C)c2cccc(C)c2n1C,13
[*]N1CC=C(F)C1,7
[*]N1CCC2(CC1)OC=C(c1ccccc1)C2=O,18
[*]c1cn2ccc(Cl)cc2n1,11
[*]C(=O)C(C)S(=O)C(C)C,10
[*]N1CC(=O)N(S(=O)(=O)c2ccc(Cl)c(Cl)c2)C1=O,19
[*]N1c2c([2H])c([2H])c([2H])c([2H])c2C2([2H])OC2([2H])c2c([2H])c([2H])c([2H])c([2H])c21,27
[*]c1nc2c(Br)cccc2s1,11
[*]C(Cl)CCC(F)(F)F,9
[*]c1ncc2c(n1)N(C1CC1)C(=O)OC2,15
[*]CC(Br)CBr,6
[*]c1nc2sc3c(ncn4c(S)nnc34)c2c2c1COC(C)(C)C2,24
[*]N1CC2C(C1)C1OC2C2OC12,12
[*]N1C(=O)CN2C(=O)CCC12,11
[*]N1C(=O)C(c2ccc(Cl)cc2Cl)=C(N2CCOCC2)C1=O,22
[*]N1Cc2cccc(C)c2CC1(C)C,14
[*]c1cnnn1C=Cc1ccccc1,14
[*]N1CCC2CC(=O)OC2C1,11
[*]c1cc2cc(Br)cc(Br)c2o1,12
[*]N1COC1,5
[*]C(=O)C1=C2C(c3ccccc3)=Nc3ccccc3N2C2(CCCCC2)OC1=O,29
[*]CC=C(Cl)Cl,6
[*]N1CCC2CN(S(=O)(=O)N3CCOCC3)CC21,18
[*]c1cc2oc3ccccc3c2n1C,14
[*]c1nc2ccccc2cc1C1CC(=O)Oc2c1c(C)cc1oc(=O)c3c(c21)CCC3,31
[*]N1CC(C)CC1C,8
[*]N1c2ccccc2C2OC2C1C,13
[*]ON=C(C)c1cc2ccccc2o1,14
[*]c1cc2ccc(F)cc2s1,11
[*]C(Br)C1(Br)OC(=O)c2ccccc21,14
[*]c1nc2ccc(C)cc2nc1C,13
[*]OS(=O)(=O)c1c(C)cc(C)cc1C,14
[*]CCCCCCCCCCCCC1=CC(C)OC1=O,20
[*]c1sc(C=O)nc1Br,9
[*]N1C(=O)c2cccc(Br)c2C1=O,13
[*]OS(=O)(=O)c1ccccn1,11
[*]N1CC(C)CCC1=O,9
[*]CC(CC)CS,7
[*]N1CC(=O)N(C)C(=O)C1,10
[*]N1CC=C(c2ccnn2C)CC1,13
[*]N1CC2CC3OC3CC2C1,11
[*]N1CC2COCC(C1)N(C)C2=O,13
[*]c1cc(=O)c2ccc(Cl)cc2o1,13
[*]C(=O)SC,5
[*]CCCCCC(Cl)CC1=CC(C)OC1=O,16
[*]N1CCC(C)CC(C)C1,10
[*]c1cc(I)cn1N1CCOCC1,13
[*]OC(S)=NCCC,8
[*]N1CCCC2CC21,8
[*]c1nc2n(n1)Cc1c(C)ncn1-c1ccc(Br)cc1-2,20
[*]N1N=C(CCCC)CC1=O,11
[*]c1nc(N2N=N2)nc2sc3c(c12)CC(C)(C)OC3,19
[*]CN1C(=O)C2(OCCC=CC2C)c2c(Br)cccc21,20
[*]N1CC2CS(=O)(=O)CC2(C)C1,12
[*]N1N=C2c3ccc(Cl)cc3CCC2CC1=O,17
[*]N1CC(=O)N2CCSc3ccccc3C2C1,17
[*]c1cncc2nncn12,10
[*]N1CC2OC2CC1C,9
[*]N1CCC2(CC1)OCc1ccccc12,15
[*]ON=C1CCCCCCCCCCC(=O)OC(C)CC1,21
[*]c1ncc(S(=O)(=O)Cl)s1,10
[*]c1nonc1C#N,8
[*]N1C(=O)CSC1=NN=C(CC)CCC,15
[*]N(C)S(=O)(=O)N1CCOCC12CCOC2,16
[*]C(=O)C(Br)CC,7
[*]c1nc2c(S(=O)(=O)c3cc(C)ccc3C)nnn2c2ccsc12,24
[*]N1CC(C=O)C12CCOCC2,12
[*]N1CCCN(C2=NS(=O)(=O)C(c3ccccc3)=C2C)CC1,22
[*]SC(=O)C(C)CCCC(C)C,12
[*]N1C(=O)CC2CC21,8
[*]SC1c2ccccc2Oc2ccc(C)cc21,17
[*]N1C(=O)OCC12CCCC2,11
[*]ON=C(C)c1cccc(Cl)c1,12
[*]SC(=C(C(Cl)=C(Cl)Cl)[N+](=O)[O-])N1CCOCC1,18
[*]N1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,15
[*]N1Cc2cc(Br)ccc2OCC1=O,14
[*]ON1C(=O)C2C3C=CC(O3)C2C1=O,14
[*]N(C)C1=NCCCO1,9
[*]O[Si](c1ccccc1)(C1C=CC=CC1)C(C)(C)C,19
[*]CCC(CCl)CC(C)C,10
[*]c1noc(C)c1C#N,9
[*]N1C2CCCC1CC(F)(F)C2,12
[*]C(C)(C)CCC,7
[*]CC(=O)N=c1sc2cc(C)ccc2n1C,16
[*]c1nc(C)cc(Cl)n1,9
[*]c1nnc2c3ccccc3ccn12,14
[*]N1C(=O)c2ccccc2C2(CC(=O)N(C)N(C)C2=O)C1=O,22
[*]N1CC2(CCC3C4CCC5CCCCC5(C)C4CCC32C)OC1(C)C,26
[*]N1CCN(C)CC1C,9
[*]c1cc(Br)cc(Cl)n1,9
[*]c1cc(=O)n2c(n1)COCC2,12
[*]N1CCC2(CC1)OC=Cc1ccncc12,16
[*]CC1Cn2c(=O)ccc3ccc(F)c1c32,16
[*]C(=O)N=c1sc2cccc(Cl)c2n1C,15
[*]CS(=O)C1CCOC1C,10
[*]N1Cc2cccnc2C1,10
[*]N1CCC2C(CC=CCc3ccccc3OCC(=O)N2C)C1,23
[*]N1C(C)OCC1(C)C,9
[*]N1CCCC12COc1ccccc1C2,15
[*]c1ccc(S(=O)(=O)Cl)cn1,11
[*]N1CCCC(C)CC1,9
[*]c1c(C)c(C)nn1C,9
[*]CCCC(C(C)=O)C(C)C,11
[*]N1N=C(C(CCCCCCCC)CCCCCCCC)CC1=O,24
[*]N1CCc2ccc(F)c(F)c21,12
[*]N1CC(C)=C(F)C1,8
[*]c1nc(C)c2c(n1)N(C)N=C(c1ccccc1)O2,19
[*]c1cc(Br)c(Cl)cn1,9
[*]CN=Cc1ccc2c(c1)OCO2,13
[*]c1sccc1S(C)(=O)=O,10
[*]N1C(=O)C2C3OC(C4C(c5ccc(C#N)cc5)=NOC34)C2C1=O,24
[*]N1CCCc2ccccc2C1=O,13
[*]N1c2ccc(F)cc2C(C)CC12CCCC2,17
[*]N1CC2(C)OC(C)(C)OC2C1=O,13
[*]N1C(=O)C2OC(C)(C)OC2C1C=O,14
[*]N1C(=O)c2oc3ccc(Br)cc3c(=O)c2C1c1cccc(Cl)c1,24
[*]N1C(=O)c2oc3ccc(Br)cc3c(=O)c2C1c1ccccc1F,24
[*]N1CC(=O)N(C)C2(COC2)C1,12
[*]N1CCC2OCCC2C1,10
[*]c1ncc([N+](=O)[O-])cc1Cl,11
[*]N1C(=O)C(=O)SC1=Nc1ccccc1Cl,16
[*]N1CC(=O)N(N=Cc2cccnc2)CC1=O,17
[*]c1ccc2cncc(Br)c2n1,12
[*]c1noc2c1C(C)OC(C)C2,12
[*]c1nc2sccn2c1Cl,10
[*]c1ccc2cccc([N+](=O)[O-])c2n1,14
[*]N1COCOC2CCCC21,11
[*]N1CCOC2(COCC2=O)C1,12
[*]ON=C(CC)c1ccc(F)c(F)c1,14
[*]OC(=Nc1ccccc1)C(F)(F)F,14
[*]c1ccc(C#C)nn1,9
[*]ON=C1CC2CCC1(C)C2(C)C,13
[*]N1N=C(C(F)(F)F)CC1=O,11
[*]ON=C(CC)c1ccccc1,12
[*]c1nc(Br)c2ccccn12,11
[*]OC=C1C(=O)OC2C3=C(CCCC3(C)C)CC12,18
[*]N1c2ccccc2CCc2ccccc21,16
[*]c1ccc2cccc(C)c2n1,12
[*]N1C(=O)N(C)C2(CCCC2)C1=O,13
[*]N1N=C(CCC)OCC1=O,11
[*]c1cn(C)c(=O)n1C,9
[*]N1CCCC2C1CCCCc1ccccc1OCC(=O)N2C,23
[*]c1noc(C)c1C,8
[*]CS(=O)(=O)C=C(N1CCOCC1)C(F)(F)C(F)(F)C(F)F,22
[*]N1CCCCC1C1CO1,10
[*]CCCC(Br)C(C)(C)C,10
[*]c1ccc2c(Cl)ccc(Br)c2n1,13
[*]c1nc2c(C)nc(C)cc2s1,12
[*]c1nccn2c(Br)c(C)nc12,12
[*]N1CC2CCC1CC(=O)O2,11
[*]ON1C(=O)CCCC1=O,10
[*]c1scc2c1OCCO2,10
[*]ON=C1CC2(CCN(C)CC2)OC1C,15
[*]N1CC(C)Oc2cc(Br)ccc21,13
[*]N1C(=O)Cn2c(Br)ccc2C1=O,13
[*]N1CC2CC(C1)c1cc3nccnc3cc12,17
[*]c1nc2cc(C)ccn2c1F,12
[*]N1C(=O)c2oc3cc(C)c(C)cc3c(=O)c2C1c1ccc(C)cc1,25
[*]C(C)(CBr)CCC,8
[*]c1c[n+](N2CCOCC2)no1,12
[*]C(C)(C#N)N=C=O,8
[*]c1nnc(C=O)s1,8
[*]CC1=C(c2ccccc2)C(=O)OC1,14
[*]c1nc2c(s1)COCC2(C)C,12
[*]CCN=C1CC2CCC1(C)C2(C)C,14
[*]c1nc2c(F)cc(Cl)cc2s1,12
[*]c1onc(C)c1[N+](=O)[O-],10
[*]CS(=O)(=O)c1ncnn1C,11
[*]N1Cc2cc(C)ccc2OC2(CCN(C)CC2)C1,19
[*]N1Cc2cc3ccc(C)cc3nc2OC1=O,17
[*]SC(=O)CCCCCCCCCCCCCCCCC,21
[*]N1CCCc2c(cnn2C)C1,12
[*]N1CCCC2C1CC=CCc1ccccc1OCC(=O)N2C,23
[*]N1c2ccccc2Oc2ccccc21,15
[*]c1ccc2cc(Cl)ccc2n1,12
[*]N1CCC2(CC1)CC(=O)N(c1ccoc1)c1ccccc12,22
[*]c1ccc(C=NN2C(=O)CSC2=S)s1,15
[*]c1nc(Cl)c(C#N)c2c1CCCC2,14
[*]N1CCC2CCCCC2C1,11
[*]CS(=O)(=O)c1ccc(C)cc1,12
[*]N1C(=O)C2COCCN2C1=O,12
[*]N1CCOC2(CC1)CC(=O)C2,12
[*]c1cccc(C)n1,8
[*]N1CCC2(CC1)CN(C)C(=O)C(C)O2,15
[*]N1CCC2C(=O)CCOC2C1,12
[*]SC(CCCC([2H])([2H])S(=O)C([2H])([2H])[2H])=NOS(=O)(=O)[O-],21
[*]N1CC2CCC1CN(C)C2,11
[*]N1CCC2(CC1)COC(c1cc3c(cn1)OCCO3)=N2,21
[*]N1CCCC2(CCOC2)C1,11
[*]c1ncc2c(n1)CC(C)CC2=O,13
[*]c1nc(C)c2c(n1)N(C)C(=O)CC2,14
[*]N1CCC2C(=O)OCC2C1,11
[*]N1C(=O)CSC1=Nc1ccc2oc(=O)ccc2c1,19
[*]N1CC2OCCOC2C1,10
[*]N1CCC2C(CCC(=O)N2C)C1,13
[*]O[Si](C)(C)C(C)(C)C,9
[*]c1ccc(C2=NCCC2)c(C)n1,13
[*]N1CC2CCC(C1)O2,9
[*]CCC(=O)C(C#N)C#N,10
[*]c1sncc1C,7
[*]N1C(=O)C(c2ccc(Cl)cc2Cl)=C(N2CC(C)CC(C)C2)C1=O,24
[*]CCCCCCCCCCCCCCCCCC,19
